dimension_id,dimension_name,option_id,display_text,score,zero_reason,justification
1,Flavor Intensity,0,Nicosia 2013 Vulkà Bianco  (Etna),0.5,null,"The wine's palate is described as 'not overly expressive' with flavors of unripened apple, citrus, and dried sage, indicating a moderate intensity that leans towards the higher end of subtle but not bold."
1,Flavor Intensity,1,Quinta dos Avidagos 2011 Avidagos Red (Douro),0.5,null,"The wine has noticeable flavors of red berries and acidity, indicating a moderate intensity rather than being subtle or bold."
1,Flavor Intensity,2,Rainstorm 2013 Pinot Gris (Willamette Valley),0.5,null,"The tasting note describes tart and snappy flavors with lime and green pineapple, indicating a bold presence but not overwhelming intensity."
1,Flavor Intensity,3,St. Julian 2013 Reserve Late Harvest Riesling (Lake Michigan Shore),0.5,null,"The wine has notable flavors such as pineapple rind, lemon pith, and honey-drizzled guava, indicating a bold presence, but these flavors are balanced enough to avoid being described as overpoweringly intense."
1,Flavor Intensity,4,Sweet Cheeks 2012 Vintner's Reserve Wild Child Block Pinot Noir (Willamette Valley),-0.5,not_applicable,"The wine is described as rough and tannic with rustic, earthy, and herbal characteristics, which suggests a subtle flavor profile rather than a bold one."
1,Flavor Intensity,5,Tandem 2011 Ars In Vitro Tempranillo-Merlot (Navarra),0.5,null,"The wine has moderately bold flavors with spicy and herbal notes that complement the fruit, indicating it is not subtle but also not intensely bold."
1,Flavor Intensity,6,Terre di Giurfo 2013 Belsito Frappato (Vittoria),0.5,null,"The wine has balanced and fresh characteristics, indicating a moderate intensity rather than being clearly subtle or bold."
1,Flavor Intensity,7,Trimbach 2012 Gewurztraminer (Alsace),0.5,null,"The wine is described as dry and restrained with balanced acidity and a firm texture, indicating a moderate intensity of flavor."
1,Flavor Intensity,8,Heinz Eifel 2013 Shine Gewürztraminer (Rheinhessen),0.5,null,"The wine has noticeable but not overpowering flavors of preserved peach and savory dried thyme, indicating a moderate intensity."
1,Flavor Intensity,9,Jean-Baptiste Adam 2012 Les Natures Pinot Gris (Alsace),0.5,null,"The wine has great depth of flavor, indicating a bold profile, but it is also described as balanced and crisp, suggesting it is not overwhelmingly intense."
1,Flavor Intensity,10,Kirkland Signature 2011 Mountain Cuvée Cabernet Sauvignon (Napa Valley),0.5,null,"The wine has noticeable but not overpowering flavors, fitting a moderately high intensity description."
1,Flavor Intensity,11,Leon Beyer 2012 Gewurztraminer (Alsace),0.5,null,"The wine has a strongly mineral character and citrus notes, indicating a bold flavor profile, but it also includes a taut texture and is described as dry, which keeps it from being at the highest intensity."
