row_id,wine_id,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,text
121958,wine_121958,US,"Made without oak fermentation or barrel aging, this wine is the essence of Santa Ynez fruit. It's savory and rich with lemons, limes, kiwis and oranges, as well as a touch of tart gooseberry.",Mesa Verde Vineyard,90,22.0,California,Santa Ynez Valley,Central Coast,,,Brander 2012 Mesa Verde Vineyard Sauvignon Blanc (Santa Ynez Valley),Sauvignon Blanc,Brander,"Wine for preference modeling. Title: Brander 2012 Mesa Verde Vineyard Sauvignon Blanc (Santa Ynez Valley). Variety: Sauvignon Blanc. Country: US. Province: California. Points: 90. Price: 22.0. Description: Made without oak fermentation or barrel aging, this wine is the essence of Santa Ynez fruit. It's savory and rich with lemons, limes, kiwis and oranges, as well as a touch of tart gooseberry."
39994,wine_39994,Italy,"A blend of Tintore and Per'e Palummo (a grape native to the Island of Ischia), there is a thorny, raw quality to this wine that is backed by Asian spice, incense, spice, tobacco and mature black fruit. The wine has a thin, almost metallic taste, with spicy fruit tones on the close.",Costa d'Amalfi Tramonti,84,18.0,Southern Italy,Campania,,,,Giuseppe Apicella 2006 Costa d'Amalfi Tramonti Red (Campania),Red Blend,Giuseppe Apicella,"Wine for preference modeling. Title: Giuseppe Apicella 2006 Costa d'Amalfi Tramonti Red (Campania). Variety: Red Blend. Country: Italy. Province: Southern Italy. Points: 84. Price: 18.0. Description: A blend of Tintore and Per'e Palummo (a grape native to the Island of Ischia), there is a thorny, raw quality to this wine that is backed by Asian spice, incense, spice, tobacco and mature black fruit. The wine has a thin, almost metallic taste, with spicy fruit tones on the close."
30987,wine_30987,US,"Great value for the price, with blackberry marmalade, moo shu plum sauce, tobacco, leather and pepper flavors that turn richly tannic and spicy in the finish. Shows lots of elegance and finesse.",Sixgill,87,10.0,California,California,California Other,,,Shark Trust 2005 Sixgill Syrah (California),Syrah,Shark Trust,"Wine for preference modeling. Title: Shark Trust 2005 Sixgill Syrah (California). Variety: Syrah. Country: US. Province: California. Points: 87. Price: 10.0. Description: Great value for the price, with blackberry marmalade, moo shu plum sauce, tobacco, leather and pepper flavors that turn richly tannic and spicy in the finish. Shows lots of elegance and finesse."
100999,wine_100999,Portugal,"Writer Hans Christian Andersen lived in Portugal for a short time and this is a homage from the Danish owner of Cortes de Cima. It's a powerful wine with a dark side that's very suitable for those fairy stories. Big tannins, black fruits and a dense structure all promise aging. Drink from 2018.",Homenagem a Hans Christian Andersen,92,45.0,Alentejano,,,Roger Voss,@vossroger,Cortes de Cima 2011 Homenagem a Hans Christian Andersen Red (Alentejano),Portuguese Red,Cortes de Cima,"Wine for preference modeling. Title: Cortes de Cima 2011 Homenagem a Hans Christian Andersen Red (Alentejano). Variety: Portuguese Red. Country: Portugal. Province: Alentejano. Points: 92. Price: 45.0. Description: Writer Hans Christian Andersen lived in Portugal for a short time and this is a homage from the Danish owner of Cortes de Cima. It's a powerful wine with a dark side that's very suitable for those fairy stories. Big tannins, black fruits and a dense structure all promise aging. Drink from 2018."
1121,wine_1121,France,"This wine came out of the disaster of shriveled Duras grapes after an especially hot period. Rather than discarding them, Domaine Rotier made a wine. Wood aged, it has many of the characters of a late harvest with its rich, sweet, lightly tannic flavors and sufficient acidity to balance. A surprising success.",Noces de Feu,90,,France Other,Vin de Liqueur,,Roger Voss,@vossroger,Domaine Rotier NV Noces de Feu Duras (Vin de Liqueur),Duras,Domaine Rotier,"Wine for preference modeling. Title: Domaine Rotier NV Noces de Feu Duras (Vin de Liqueur). Variety: Duras. Country: France. Province: France Other. Points: 90. Price: . Description: This wine came out of the disaster of shriveled Duras grapes after an especially hot period. Rather than discarding them, Domaine Rotier made a wine. Wood aged, it has many of the characters of a late harvest with its rich, sweet, lightly tannic flavors and sufficient acidity to balance. A surprising success."
62384,wine_62384,Austria,"A rounded style of wine, its texture full of warm fruits, pear, apricot and some lime juice to give a fresh edge. It is full of flavor, with apples and cream flavors, layered with crisp, tight acidity, but all within the context of a full, dense wine. Glass stopper.",Undhof Kögl,89,29.0,Kremstal,,,Roger Voss,@vossroger,Salomon-Undhof 2007 Undhof Kögl Riesling (Kremstal),Riesling,Salomon-Undhof,"Wine for preference modeling. Title: Salomon-Undhof 2007 Undhof Kögl Riesling (Kremstal). Variety: Riesling. Country: Austria. Province: Kremstal. Points: 89. Price: 29.0. Description: A rounded style of wine, its texture full of warm fruits, pear, apricot and some lime juice to give a fresh edge. It is full of flavor, with apples and cream flavors, layered with crisp, tight acidity, but all within the context of a full, dense wine. Glass stopper."
5071,wine_5071,US,"Plush and mouthfilling, this blend of Petit Sirah, Malbec, Cabernet Franc, Syrah and Tinta Cão comes with notes of wild berries, cedar, flowers and spiced cocoa. Dusty, tongue-coating tannins keep the palate grounded.",The Hundreth Monkey,87,50.0,Colorado,Grand Valley,,,,The Infinite Monkey Theorem 2012 The Hundreth Monkey Red (Grand Valley),Red Blend,The Infinite Monkey Theorem,"Wine for preference modeling. Title: The Infinite Monkey Theorem 2012 The Hundreth Monkey Red (Grand Valley). Variety: Red Blend. Country: US. Province: Colorado. Points: 87. Price: 50.0. Description: Plush and mouthfilling, this blend of Petit Sirah, Malbec, Cabernet Franc, Syrah and Tinta Cão comes with notes of wild berries, cedar, flowers and spiced cocoa. Dusty, tongue-coating tannins keep the palate grounded."
27537,wine_27537,Spain,"Abelis Carthago's top wine, Fighting Bulls, is also its toughest to enjoy. There's overripeness and barnyard on the nose, and thus the prune, black plum and jammy berry flavors that control the palate are not surprising. Big and forceful for sure, but also choppy and incongruent across the palate.",Fighting Bulls,88,60.0,Northern Spain,Toro,,Michael Schachner,@wineschach,Abelis Carthago 2004 Fighting Bulls  (Toro),Tinta de Toro,Abelis Carthago,"Wine for preference modeling. Title: Abelis Carthago 2004 Fighting Bulls (Toro). Variety: Tinta de Toro. Country: Spain. Province: Northern Spain. Points: 88. Price: 60.0. Description: Abelis Carthago's top wine, Fighting Bulls, is also its toughest to enjoy. There's overripeness and barnyard on the nose, and thus the prune, black plum and jammy berry flavors that control the palate are not surprising. Big and forceful for sure, but also choppy and incongruent across the palate."
106425,wine_106425,Australia,"Straightforward Australian Shiraz, combining mulberry fruit with vanilla oak. It lacks richness and expansiveness on the palate. A solid effort, but a bit of a disappointment given the history of the label and the suggested pricing.",Classic Clare,86,45.0,South Australia,Clare Valley,,Joe Czerwinski,@JoeCz,Leasingham 2005 Classic Clare Shiraz (Clare Valley),Shiraz,Leasingham,"Wine for preference modeling. Title: Leasingham 2005 Classic Clare Shiraz (Clare Valley). Variety: Shiraz. Country: Australia. Province: South Australia. Points: 86. Price: 45.0. Description: Straightforward Australian Shiraz, combining mulberry fruit with vanilla oak. It lacks richness and expansiveness on the palate. A solid effort, but a bit of a disappointment given the history of the label and the suggested pricing."
110969,wine_110969,Georgia,"Honey gold in color, this wine made from an indigenous Georgian grape has a bouquet of white cherries and lavender. Tart flavors of honeydew melon and white plum persist into the soft floral finish.",Dry Unfiltered,84,28.0,Georgia,,,Mike DeSimone,@worldwineguys,Gotsa Family Wines 2015 Dry Unfiltered Chinuri (Georgia),Chinuri,Gotsa Family Wines,"Wine for preference modeling. Title: Gotsa Family Wines 2015 Dry Unfiltered Chinuri (Georgia). Variety: Chinuri. Country: Georgia. Province: Georgia. Points: 84. Price: 28.0. Description: Honey gold in color, this wine made from an indigenous Georgian grape has a bouquet of white cherries and lavender. Tart flavors of honeydew melon and white plum persist into the soft floral finish."
