row_id,movie_id,title,genres,plot_summary,director,stars,text,rating_count
1411,1453,"Beautician and the Beast, The (1997)",Comedy|Romance,"The Beautician and the Beast is a romantic comedy that follows the misadventures of a New York cosmetologist who finds herself hired as a tutor for the children of a European dictator. As she brings her unconventional charm and beauty expertise to the royal family, she inadvertently becomes embroiled in political intrigue and romance. The film blends humor and heart, offering a whimsical take on love and diplomacy.",Ken Kwapis,"Fran Drescher, Timothy Dalton, Ian McNeice","Movie for preference modeling. Title: Beautician and the Beast, The (1997). Genres: Comedy|Romance. Director: Ken Kwapis. Stars: Fran Drescher, Timothy Dalton, Ian McNeice. Plot summary: The Beautician and the Beast is a romantic comedy that follows the misadventures of a New York cosmetologist who finds herself hired as a tutor for the children of a European dictator. As she brings her unconventional charm and beauty expertise to the royal family, she inadvertently becomes embroiled in political intrigue and romance. The film blends humor and heart, offering a whimsical take on love and diplomacy.",1652
13763,71282,"Food, Inc. (2008)",Documentary,"'Food, Inc.' exposes the hidden truths behind the food industry, revealing the impacts of industrial farming on our health, environment, and society. Through interviews and investigative journalism, the documentary sheds light on the consequences of mass production and the importance of sustainable agriculture. Directed by Robert Kenner, 'Food, Inc.' challenges viewers to rethink their food choices and consider the implications of their consumption habits.",Robert Kenner,"Eric Schlosser, Michael Pollan, Joel Salatin","Movie for preference modeling. Title: Food, Inc. (2008). Genres: Documentary. Director: Robert Kenner. Stars: Eric Schlosser, Michael Pollan, Joel Salatin. Plot summary: 'Food, Inc.' exposes the hidden truths behind the food industry, revealing the impacts of industrial farming on our health, environment, and society. Through interviews and investigative journalism, the documentary sheds light on the consequences of mass production and the importance of sustainable agriculture. Directed by Robert Kenner, 'Food, Inc.' challenges viewers to rethink their food choices and consider the implications of their consumption habits.",1602
1887,1976,Friday the 13th Part 3: 3D (1982),Horror,"In this installment, the infamous killer Jason Voorhees continues his rampage, now armed with his iconic hockey mask. The film introduces new victims and elaborate kills in 3D, enhancing the horror experience for audiences. As the body count rises, the survivors must find a way to escape the deadly clutches of Jason.",Steve Miner,"Dana Kimmell, Paul Kratka, Tracie Savage","Movie for preference modeling. Title: Friday the 13th Part 3: 3D (1982). Genres: Horror. Director: Steve Miner. Stars: Dana Kimmell, Paul Kratka, Tracie Savage. Plot summary: In this installment, the infamous killer Jason Voorhees continues his rampage, now armed with his iconic hockey mask. The film introduces new victims and elaborate kills in 3D, enhancing the horror experience for audiences. As the body count rises, the survivors must find a way to escape the deadly clutches of Jason.",1685
2969,3062,"Longest Day, The (1962)",Action|Drama|War,"'The Longest Day' is an epic war film that depicts the events of D-Day during World War II from both the Allied and German perspectives. The film follows the preparation, execution, and aftermath of the monumental invasion, showcasing the bravery and sacrifices of the soldiers involved. With a star-studded cast and impressive battle sequences, 'The Longest Day' is a gripping portrayal of one of history's most significant military operations.","Ken Annakin, Andrew Marton, Bernhard Wicki","John Wayne, Robert Ryan, Richard Burton","Movie for preference modeling. Title: Longest Day, The (1962). Genres: Action|Drama|War. Director: Ken Annakin, Andrew Marton, Bernhard Wicki. Stars: John Wayne, Robert Ryan, Richard Burton. Plot summary: 'The Longest Day' is an epic war film that depicts the events of D-Day during World War II from both the Allied and German perspectives. The film follows the preparation, execution, and aftermath of the monumental invasion, showcasing the bravery and sacrifices of the soldiers involved. With a star-studded cast and impressive battle sequences, 'The Longest Day' is a gripping portrayal of one of history's most significant military operations.",3093
14258,73929,Legion (2010),Action|Fantasy|Horror|Thriller,"'Legion' unfolds in a remote diner where a group of strangers find themselves at the center of a supernatural battle for humanity's survival. As the world faces a biblical apocalypse, the diner becomes a battleground between the forces of heaven and hell. The film combines elements of horror, action, and fantasy as the characters band together to fight against the impending doom. 'Legion' explores themes of faith, redemption, and the resilience of the human spirit in the face of divine intervention.",Scott Stewart,"Paul Bettany, Dennis Quaid, Lucas Black","Movie for preference modeling. Title: Legion (2010). Genres: Action|Fantasy|Horror|Thriller. Director: Scott Stewart. Stars: Paul Bettany, Dennis Quaid, Lucas Black. Plot summary: 'Legion' unfolds in a remote diner where a group of strangers find themselves at the center of a supernatural battle for humanity's survival. As the world faces a biblical apocalypse, the diner becomes a battleground between the forces of heaven and hell. The film combines elements of horror, action, and fantasy as the characters band together to fight against the impending doom. 'Legion' explores themes of faith, redemption, and the resilience of the human spirit in the face of divine intervention.",1200
349,354,Cobb (1994),Drama,"Starring Tommy Lee Jones as the legendary baseball player Ty Cobb, this biographical drama delves into the complex and controversial life of the sports icon. Through a series of flashbacks, viewers witness Cobb's rise to fame, his competitive spirit, and his tumultuous relationships both on and off the field. The film explores themes of ambition, success, and the sacrifices one makes in pursuit of greatness.",Ron Shelton,"Tommy Lee Jones, Robert Wuhl,  Lolita Davidovich","Movie for preference modeling. Title: Cobb (1994). Genres: Drama. Director: Ron Shelton. Stars: Tommy Lee Jones, Robert Wuhl, Lolita Davidovich. Plot summary: Starring Tommy Lee Jones as the legendary baseball player Ty Cobb, this biographical drama delves into the complex and controversial life of the sports icon. Through a series of flashbacks, viewers witness Cobb's rise to fame, his competitive spirit, and his tumultuous relationships both on and off the field. The film explores themes of ambition, success, and the sacrifices one makes in pursuit of greatness.",1264
785,801,Harriet the Spy (1996),Children|Comedy,Harriet M. Welsch is a spy. But when Harriet's friends find her secret notebook the tables are turned on her. Can she win her friends back and still keep on going with the spy business?,Bronwen Hughes,"Michelle Trachtenberg, Gregory Smith, Vanessa Lee Chester","Movie for preference modeling. Title: Harriet the Spy (1996). Genres: Children|Comedy. Director: Bronwen Hughes. Stars: Michelle Trachtenberg, Gregory Smith, Vanessa Lee Chester. Plot summary: Harriet M. Welsch is a spy. But when Harriet's friends find her secret notebook the tables are turned on her. Can she win her friends back and still keep on going with the spy business?",1750
85853,286897,Spider-Man: Across the Spider-Verse (2023),Action|Adventure|Animation|Sci-Fi,"'Spider-Man: Across the Spider-Verse' picks up where the first film left off, with Miles Morales navigating the multiverse and encountering new challenges and villains. As he teams up with other Spider-People from different dimensions, Miles must confront his own doubts and fears to save the multiverse from destruction. 'Spider-Man: Across the Spider-Verse' is a thrilling animated adventure that expands the Spider-Man universe in exciting new ways.","Phil Lord, Christopher Miller","Shameik Moore, Hailee Steinfeld, Jake Johnson","Movie for preference modeling. Title: Spider-Man: Across the Spider-Verse (2023). Genres: Action|Adventure|Animation|Sci-Fi. Director: Phil Lord, Christopher Miller. Stars: Shameik Moore, Hailee Steinfeld, Jake Johnson. Plot summary: 'Spider-Man: Across the Spider-Verse' picks up where the first film left off, with Miles Morales navigating the multiverse and encountering new challenges and villains. As he teams up with other Spider-People from different dimensions, Miles must confront his own doubts and fears to save the multiverse from destruction. 'Spider-Man: Across the Spider-Verse' is a thrilling animated adventure that expands the Spider-Man universe in exciting new ways.",1133
7595,8014,"Spring, Summer, Fall, Winter... and Spring (Bom yeoreum gaeul gyeoul geurigo bom) (2003)",Drama,"In this contemplative film, a Buddhist monk lives through the changing seasons of life on a floating temple in the middle of a serene lake. As he experiences the cycle of nature, he encounters various challenges and learns profound lessons about love, loss, and the passage of time. The film beautifully captures the interconnectedness of life and the eternal cycle of birth, death, and rebirth.",Kim Ki-duk,"Oh Young-soo, Kim Ki-duk, Ha Yeo-jin","Movie for preference modeling. Title: Spring, Summer, Fall, Winter... and Spring (Bom yeoreum gaeul gyeoul geurigo bom) (2003). Genres: Drama. Director: Kim Ki-duk. Stars: Oh Young-soo, Kim Ki-duk, Ha Yeo-jin. Plot summary: In this contemplative film, a Buddhist monk lives through the changing seasons of life on a floating temple in the middle of a serene lake. As he experiences the cycle of nature, he encounters various challenges and learns profound lessons about love, loss, and the passage of time. The film beautifully captures the interconnectedness of life and the eternal cycle of birth, death, and rebirth.",2678
1390,1429,First Strike (Police Story 4: First Strike) (Ging chaat goo si 4: Ji gaan daan yam mo) (1996),Action|Adventure|Comedy|Thriller,"First Strike is an action-packed martial arts film starring Jackie Chan as a Hong Kong cop who gets caught up in a global conspiracy involving a Russian nuclear warhead. As he races against time to stop the villains, Chan showcases his signature stunts and fighting skills.",Stanley Tong,"Jackie Chan, Jackson Lou, Annie Wu","Movie for preference modeling. Title: First Strike (Police Story 4: First Strike) (Ging chaat goo si 4: Ji gaan daan yam mo) (1996). Genres: Action|Adventure|Comedy|Thriller. Director: Stanley Tong. Stars: Jackie Chan, Jackson Lou, Annie Wu. Plot summary: First Strike is an action-packed martial arts film starring Jackie Chan as a Hong Kong cop who gets caught up in a global conspiracy involving a Russian nuclear warhead. As he races against time to stop the villains, Chan showcases his signature stunts and fighting skills.",3605
