dimension_id,dimension_name,option_id,display_text,score,zero_reason,justification
1,Action vs. Character-Driven,1,Toy Story (1995),3,midpoint,Toy Story focuses on the character development of Woody and Buzz as they learn about friendship and loyalty.
1,Action vs. Character-Driven,2,Jumanji (1995),2,midpoint,The plot involves high-stakes action sequences but also includes elements of character development as the players face challenges.
1,Action vs. Character-Driven,3,Grumpier Old Men (1995),2,midpoint,The movie focuses more on the comedic interactions and rivalry between the characters rather than deep psychological exploration.
1,Action vs. Character-Driven,4,Waiting to Exhale (1995),4,,The film focuses deeply on the personal and emotional journeys of its main characters.
1,Action vs. Character-Driven,5,Father of the Bride Part II (1995),3,midpoint,The movie focuses more on character relationships and personal growth within the family rather than on action sequences.
1,Action vs. Character-Driven,6,Heat (1995),3,midpoint,"Heat (1995) balances intense action sequences with significant character development, making it neither purely action-driven nor deeply character-focused."
1,Action vs. Character-Driven,7,Sabrina (1995),4,,The film focuses on character development and the complexities of relationships rather than action sequences.
1,Action vs. Character-Driven,8,Tom and Huck (1995),3,midpoint,"The film focuses on the development of Tom and Huck's friendship and the themes of childhood innocence, while also including adventurous elements."
1,Action vs. Character-Driven,9,Sudden Death (1995),1,null,"The plot focuses heavily on high-stakes action sequences and saving hostages, typical of action-driven films."
1,Action vs. Character-Driven,10,GoldenEye (1995),1,null,The plot summary emphasizes high-stakes action sequences and thrilling chase scenes typical of an action-driven film.
1,Action vs. Character-Driven,11,"American President, The (1995)",4,,"The plot focuses heavily on the personal and political growth of the characters, particularly the president's struggle between love and duty."
1,Action vs. Character-Driven,12,Dracula: Dead and Loving It (1995),1,null,"The movie is a comedy-horror spoof filled with slapstick humor and parodies, focusing more on action and comedic sequences than deep character development."
1,Action vs. Character-Driven,13,Balto (1995),3,midpoint,Balto includes both action elements in its journey narrative and character development as Balto learns about heroism and determination.
1,Action vs. Character-Driven,14,Nixon (1995),4,,"The film delves into Nixon's complex personality and struggles, focusing on deep character development."
1,Action vs. Character-Driven,15,Cutthroat Island (1995),1,null,"The plot focuses heavily on action-adventure elements and treasure hunting, with less emphasis on character development."
1,Action vs. Character-Driven,16,Casino (1995),3,midpoint,Casino focuses on character development but also includes significant action elements.
1,Action vs. Character-Driven,17,Sense and Sensibility (1995),4,,The film focuses deeply on the emotional journeys and personal growth of the Dashwood sisters.
1,Action vs. Character-Driven,18,Four Rooms (1995),2,midpoint,The movie features multiple segments with quirky characters but focuses more on situational humor and chaos than deep character development.
1,Action vs. Character-Driven,19,Ace Ventura: When Nature Calls (1995),1,null,The movie focuses more on slapstick humor and zany antics rather than deep character development.
1,Action vs. Character-Driven,20,Money Train (1995),2,midpoint,"The movie blends action sequences with some character interaction and development, but leans more towards action."
1,Action vs. Character-Driven,21,Get Shorty (1995),2,midpoint,The movie has elements of both action and character development but leans slightly towards action and plot-driven events.
1,Action vs. Character-Driven,22,Copycat (1995),3,midpoint,"The movie includes elements of both character development and action, focusing on the psychologist's personal journey while also involving thriller elements."
1,Action vs. Character-Driven,23,Assassins (1995),1,null,The plot summary emphasizes action-packed sequences and a deadly game of cat and mouse between assassins.
1,Action vs. Character-Driven,24,Powder (1995),4,,"The movie focuses on the deep character development of Powder and his interactions with others, emphasizing psychological depth over action."
1,Action vs. Character-Driven,25,Leaving Las Vegas (1995),4,,The movie focuses deeply on the characters' psychological struggles and their evolving relationship.
1,Action vs. Character-Driven,26,Othello (1995),4,,The movie focuses deeply on the psychological manipulation and emotional turmoil of its characters.
1,Action vs. Character-Driven,27,Now and Then (1995),4,,The movie focuses on deep character development and the emotional journey of the characters as they reflect on their past and current lives.
1,Action vs. Character-Driven,28,Persuasion (1995),4,,"The movie focuses on Anne Elliot's emotional journey and the complexities of her relationships, aligning with character-driven narratives."
1,Action vs. Character-Driven,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",3,midpoint,The movie features both visually stunning action elements and deep character development within its surreal narrative.
1,Action vs. Character-Driven,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),4,,"The movie focuses on the deep exploration of themes like power, loyalty, and consequences through the character's experiences."
1,Action vs. Character-Driven,31,Dangerous Minds (1995),3,midpoint,The film focuses more on character development and themes of education and empowerment than on action sequences.
1,Action vs. Character-Driven,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),3,midpoint,Twelve Monkeys combines elements of action with significant focus on character development and psychological depth.
1,Action vs. Character-Driven,33,Wings of Courage (1995),3,midpoint,"The film focuses on character development and themes of courage and passion, but also includes adventurous elements."
1,Action vs. Character-Driven,34,Babe (1995),4,,Babe focuses on the character development of the pig and the relationships formed on the farm.
1,Action vs. Character-Driven,35,Carrington (1995),4,,"The film delves into complex character relationships and personal struggles, emphasizing psychological depth over action."
1,Action vs. Character-Driven,36,Dead Man Walking (1995),4,,"The film focuses deeply on the character development of Sister Helen Prejean and Matthew Poncelet, exploring themes of redemption and justice."
1,Action vs. Character-Driven,37,Across the Sea of Time (1995),4,,The movie focuses on the deep character arc of Tomas as he navigates his journey and discovers his family's history.
1,Action vs. Character-Driven,38,It Takes Two (1995),3,midpoint,The plot focuses more on character development and relationships rather than action sequences.
1,Action vs. Character-Driven,39,Clueless (1995),4,,Clueless focuses on deep character development and the personal growth of Cher Horowitz.
1,Action vs. Character-Driven,40,"Cry, the Beloved Country (1995)",4,,The film focuses deeply on the character development of Stephen Kumalo as he confronts personal and societal challenges.
1,Action vs. Character-Driven,41,Richard III (1995),4,,The film focuses heavily on Richard III's psychological manipulation and character arc as he schemes to gain power.
1,Action vs. Character-Driven,42,Dead Presidents (1995),3,midpoint,The movie includes both action elements and significant focus on character development and societal issues.
1,Action vs. Character-Driven,43,Restoration (1995),4,,"The movie focuses on the deep character arc of Robert Merivel as he navigates love, betrayal, and the complexities of power."
1,Action vs. Character-Driven,44,Mortal Kombat (1995),1,null,"The plot focuses heavily on action and combat, typical of an adaptation from a fighting game franchise."
1,Action vs. Character-Driven,45,To Die For (1995),3,midpoint,The movie focuses more on the character development of Suzanne Stone and the psychological exploration of her ambition than on action sequences.
1,Action vs. Character-Driven,46,How to Make an American Quilt (1995),4,,"The movie focuses on the personal growth and emotional journeys of its characters, particularly the young woman learning about life through the stories of others."
1,Action vs. Character-Driven,47,Seven (a.k.a. Se7en) (1995),2,midpoint,Seven includes both complex character development and intense action sequences.
1,Action vs. Character-Driven,48,Pocahontas (1995),3,midpoint,The movie focuses more on the relationship and personal growth of Pocahontas rather than on action sequences.
1,Action vs. Character-Driven,49,When Night Is Falling (1995),4,,The plot focuses on the character's personal growth and emotional journey as she navigates her relationship and confronts her beliefs.
1,Action vs. Character-Driven,50,"Usual Suspects, The (1995)",3,midpoint,The Usual Suspects focuses more on its intricate plot and character revelations than on action sequences.
2,Historical vs. Contemporary,1,Toy Story (1995),4,,Toy Story is set in modern times and deals with contemporary themes of childhood and friendship.
2,Historical vs. Contemporary,2,Jumanji (1995),4,,The movie 'Jumanji' is set in modern times and deals with contemporary issues relevant to its release year in 1995.
2,Historical vs. Contemporary,3,Grumpier Old Men (1995),4,,The movie is set in modern times and focuses on contemporary themes of aging and relationships.
2,Historical vs. Contemporary,4,Waiting to Exhale (1995),4,,The movie is set in modern times and deals with contemporary issues such as infidelity and single motherhood.
2,Historical vs. Contemporary,5,Father of the Bride Part II (1995),4,,The movie deals with contemporary family dynamics and issues relevant to modern audiences.
2,Historical vs. Contemporary,6,Heat (1995),3,midpoint,Heat (1995) is set in modern times and deals with contemporary issues of crime and law enforcement.
2,Historical vs. Contemporary,7,Sabrina (1995),3,midpoint,The movie is set in modern times and deals with contemporary themes of love and self-discovery.
2,Historical vs. Contemporary,8,Tom and Huck (1995),1,null,"The movie is set in the 19th century, aligning it closely with a historical setting."
2,Historical vs. Contemporary,9,Sudden Death (1995),4,,The movie is set in modern times and involves current issues such as terrorism.
2,Historical vs. Contemporary,10,GoldenEye (1995),4,,The movie 'GoldenEye' is set in modern times and deals with contemporary issues such as satellite technology and international espionage.
2,Historical vs. Contemporary,11,"American President, The (1995)",4,,The movie is set in modern times and deals with contemporary political and personal issues.
2,Historical vs. Contemporary,12,Dracula: Dead and Loving It (1995),1,null,"The movie is set in 19th-century England, which is a historical period."
2,Historical vs. Contemporary,13,Balto (1995),1,null,Balto is based on a true story set in a historical context involving a specific historical event in Alaska.
2,Historical vs. Contemporary,14,Nixon (1995),1,null,"The movie is a biographical drama focusing on the life of Richard Nixon, primarily set in the historical context of the 1960s and 70s."
2,Historical vs. Contemporary,15,Cutthroat Island (1995),1,null,The movie is set in a historical period with pirates and treasure hunts.
2,Historical vs. Contemporary,16,Casino (1995),3,midpoint,"The movie is set in the late 20th century, dealing with contemporary issues of the time."
2,Historical vs. Contemporary,17,Sense and Sensibility (1995),1,null,The movie is a period drama set in 19th century England.
2,Historical vs. Contemporary,18,Four Rooms (1995),4,,"The plot summary indicates the movie is set in modern times, specifically on New Year's Eve, suggesting a contemporary setting."
2,Historical vs. Contemporary,19,Ace Ventura: When Nature Calls (1995),3,,The movie is set in modern times and focuses on contemporary issues with a comedic twist.
2,Historical vs. Contemporary,20,Money Train (1995),4,,Money Train is set in modern times and deals with contemporary issues related to urban life and crime.
2,Historical vs. Contemporary,21,Get Shorty (1995),4,,The movie is set in modern times and deals with contemporary issues in the film industry.
2,Historical vs. Contemporary,22,Copycat (1995),3,midpoint,"The movie deals with contemporary issues but references historical murders, creating a mix of both elements."
2,Historical vs. Contemporary,23,Assassins (1995),4,,The plot summary indicates a modern setting with contemporary themes of betrayal and intrigue among hitmen.
2,Historical vs. Contemporary,24,Powder (1995),3,midpoint,'Powder' is set in modern times and deals with contemporary themes of acceptance and prejudice.
2,Historical vs. Contemporary,25,Leaving Las Vegas (1995),4,,The movie is set in modern times and deals with contemporary issues such as alcoholism and prostitution.
2,Historical vs. Contemporary,26,Othello (1995),1,null,"The movie is an adaptation of Shakespeare's play set in Venetian times, which is a historical context."
2,Historical vs. Contemporary,27,Now and Then (1995),3,midpoint,The movie deals with both contemporary adult lives and回忆中的1970年夏天，因此在历史和现代之间取得了平衡。
2,Historical vs. Contemporary,28,Persuasion (1995),1,null,"The movie is an adaptation of Jane Austen's novel, set in a historical period."
2,Historical vs. Contemporary,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",3,midpoint,The movie is set in a surreal and dystopian world that is not clearly anchored in either historical or contemporary time.
2,Historical vs. Contemporary,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),1,null,"The movie is set in 1930s Shanghai, which is a historical period."
2,Historical vs. Contemporary,31,Dangerous Minds (1995),4,,The movie is set in modern times and deals with contemporary issues such as education and race.
2,Historical vs. Contemporary,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),3,midpoint,"The movie involves time travel between a post-apocalyptic future and the present, blending historical and contemporary elements."
2,Historical vs. Contemporary,33,Wings of Courage (1995),1,null,"The movie is a biographical drama set in the early days of aviation, focusing on historical figures and their adventures."
2,Historical vs. Contemporary,34,Babe (1995),3,midpoint,Babe is set in a non-specific modern farming context without clear historical markers.
2,Historical vs. Contemporary,35,Carrington (1995),1,null,"Carrington is a biographical drama set in early 20th-century England, which places it firmly in a historical context."
2,Historical vs. Contemporary,36,Dead Man Walking (1995),2,midpoint,The movie is set in modern times but deals with historical aspects of the justice system.
2,Historical vs. Contemporary,37,Across the Sea of Time (1995),1,null,"The movie focuses on a historical period of immigration to America, aligning more with historical themes."
2,Historical vs. Contemporary,38,It Takes Two (1995),3,null,The movie is set in modern times and deals with contemporary family dynamics.
2,Historical vs. Contemporary,39,Clueless (1995),4,,Clueless is a modern retelling of Jane Austen's novel set in a contemporary Beverly Hills high school.
2,Historical vs. Contemporary,40,"Cry, the Beloved Country (1995)",1,null,"The movie is set during the apartheid era in South Africa, which is a historical period."
2,Historical vs. Contemporary,41,Richard III (1995),4,,"The film sets Shakespeare's 'Richard III' in a modern-day context, aligning with contemporary themes."
2,Historical vs. Contemporary,42,Dead Presidents (1995),3,midpoint,The movie is set in modern times but deals with historical impacts of the Vietnam War.
2,Historical vs. Contemporary,43,Restoration (1995),1,null,"The movie is set in the 17th century, focusing on historical events and figures."
2,Historical vs. Contemporary,44,Mortal Kombat (1995),3,null,The movie is set in modern times but includes fantastical elements that transcend specific time periods.
2,Historical vs. Contemporary,45,To Die For (1995),4,,The movie is set in modern times and deals with contemporary issues such as media obsession and fame.
2,Historical vs. Contemporary,46,How to Make an American Quilt (1995),2,midpoint,The movie is set in modern times but focuses on traditional activities and intergenerational stories.
2,Historical vs. Contemporary,47,Seven (a.k.a. Se7en) (1995),4,,Seven is set in modern times and deals with contemporary issues of crime and morality.
2,Historical vs. Contemporary,48,Pocahontas (1995),1,null,Pocahontas is set in a historical context involving the early interactions between Native Americans and English settlers.
2,Historical vs. Contemporary,49,When Night Is Falling (1995),3,null,The plot summary does not specify a historical setting but focuses on contemporary themes of love and personal growth.
2,Historical vs. Contemporary,50,"Usual Suspects, The (1995)",3,midpoint,The Usual Suspects is set in modern times without specific historical context.
3,Romantic vs. Non-Romantic,1,Toy Story (1995),1,not_applicable,The plot focuses on friendship and adventure rather than romantic elements.
3,Romantic vs. Non-Romantic,2,Jumanji (1995),1,null,The plot summary does not indicate any significant romantic storyline.
3,Romantic vs. Non-Romantic,3,Grumpier Old Men (1995),2,midpoint,The movie includes romantic elements but primarily focuses on comedy and the relationship between the male leads.
3,Romantic vs. Non-Romantic,4,Waiting to Exhale (1995),4,,The movie focuses significantly on the romantic struggles and emotional journeys of the main characters.
3,Romantic vs. Non-Romantic,5,Father of the Bride Part II (1995),1,null,"The plot focuses on family dynamics and the challenges of becoming a parent again, with minimal romantic storyline."
3,Romantic vs. Non-Romantic,6,Heat (1995),1,not_applicable,"The plot summary of Heat (1995) focuses on the conflict between a thief and a detective, with no mention of romantic elements."
3,Romantic vs. Non-Romantic,7,Sabrina (1995),4,,The plot revolves around romantic relationships and the emotional journey of the characters.
3,Romantic vs. Non-Romantic,8,Tom and Huck (1995),1,null,The plot summary focuses on adventure and friendship without mentioning any romantic elements.
3,Romantic vs. Non-Romantic,9,Sudden Death (1995),0,not_applicable,The plot summary focuses entirely on action and suspense without any mention of romantic elements.
3,Romantic vs. Non-Romantic,10,GoldenEye (1995),1,null,The plot focuses primarily on action and espionage with minimal romantic storyline.
3,Romantic vs. Non-Romantic,11,"American President, The (1995)",4,,The American President has a strong romantic storyline that is central to the plot.
3,Romantic vs. Non-Romantic,12,Dracula: Dead and Loving It (1995),1,null,The plot summary indicates a comedy-horror spoof with no mention of romantic elements.
3,Romantic vs. Non-Romantic,13,Balto (1995),1,null,The plot summary focuses on adventure and themes of courage and perseverance without mentioning any significant romantic storyline.
3,Romantic vs. Non-Romantic,14,Nixon (1995),0,not_applicable,The movie focuses on the political career of Richard Nixon without significant romantic storylines.
3,Romantic vs. Non-Romantic,15,Cutthroat Island (1995),2,midpoint,The movie includes a romance subplot with an ex-lover but focuses primarily on action and adventure.
3,Romantic vs. Non-Romantic,16,Casino (1995),1,null,The movie primarily focuses on crime and drama with only a minor romantic subplot.
3,Romantic vs. Non-Romantic,17,Sense and Sensibility (1995),4,,The movie focuses heavily on the romantic journeys and challenges faced by the Dashwood sisters.
3,Romantic vs. Non-Romantic,18,Four Rooms (1995),1,null,The plot summary indicates an anthology of bizarre and outrageous events without mention of significant romantic storylines.
3,Romantic vs. Non-Romantic,19,Ace Ventura: When Nature Calls (1995),0,not_applicable,The plot summary indicates a comedy focused on adventure and slapstick humor without mention of romantic elements.
3,Romantic vs. Non-Romantic,20,Money Train (1995),1,null,The movie includes a love interest but focuses primarily on action and crime elements.
3,Romantic vs. Non-Romantic,21,Get Shorty (1995),1,null,The plot summary does not indicate a significant romantic storyline.
3,Romantic vs. Non-Romantic,22,Copycat (1995),1,not_applicable,"The plot focuses on hunting a serial killer and personal survival, lacking significant romantic elements."
3,Romantic vs. Non-Romantic,23,Assassins (1995),1,null,The plot summary focuses on action and rivalry between assassins without highlighting romantic elements.
3,Romantic vs. Non-Romantic,24,Powder (1995),1,null,The plot focuses on the protagonist's unique abilities and his struggle for acceptance rather than on a romantic storyline.
3,Romantic vs. Non-Romantic,25,Leaving Las Vegas (1995),4,,The movie features a deep and emotional romantic journey between a self-destructive alcoholic and a prostitute.
3,Romantic vs. Non-Romantic,26,Othello (1995),2,midpoint,"While there is a love story between Othello and Desdemona, the plot is dominated by betrayal, jealousy, and revenge."
3,Romantic vs. Non-Romantic,27,Now and Then (1995),2,midpoint,The movie includes themes of love but primarily focuses on friendship and personal growth.
3,Romantic vs. Non-Romantic,28,Persuasion (1995),4,,The movie focuses on a romantic storyline involving rekindled love and navigating societal expectations.
3,Romantic vs. Non-Romantic,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",1,null,The plot summary does not indicate any significant romantic storyline.
3,Romantic vs. Non-Romantic,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),1,null,The plot summary does not indicate any significant romantic storyline.
3,Romantic vs. Non-Romantic,31,Dangerous Minds (1995),1,null,The plot summary does not indicate any significant romantic storyline.
3,Romantic vs. Non-Romantic,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),1,null,The plot focuses on time travel and survival rather than romantic elements.
3,Romantic vs. Non-Romantic,33,Wings of Courage (1995),2,midpoint,The movie includes romance as a genre but focuses more on adventure and the biographical aspects of aviation pioneers.
3,Romantic vs. Non-Romantic,34,Babe (1995),1,not_applicable,The plot summary focuses on a pig's journey and friendship rather than any romantic elements.
3,Romantic vs. Non-Romantic,35,Carrington (1995),4,,The movie delves into the complex and unconventional romantic relationship between Dora Carrington and Lytton Strachey.
3,Romantic vs. Non-Romantic,36,Dead Man Walking (1995),1,null,The plot focuses on themes of redemption and justice rather than romantic elements.
3,Romantic vs. Non-Romantic,37,Across the Sea of Time (1995),1,not_applicable,"The plot focuses on an immigrant's journey and discovery of New York City, lacking significant romantic elements."
3,Romantic vs. Non-Romantic,38,It Takes Two (1995),3,null,"The movie includes a plot focused on bringing two single parents together, indicating a moderate romantic element."
3,Romantic vs. Non-Romantic,39,Clueless (1995),4,,Clueless has a significant romantic storyline as part of its narrative.
3,Romantic vs. Non-Romantic,40,"Cry, the Beloved Country (1995)",1,null,The plot focuses on themes of racial injustice and personal struggle without significant romantic elements.
3,Romantic vs. Non-Romantic,41,Richard III (1995),1,not_applicable,The plot focuses on political manipulation and power struggles without significant romantic elements.
3,Romantic vs. Non-Romantic,42,Dead Presidents (1995),0,not_applicable,"The plot summary focuses on themes of war, poverty, and crime without mentioning any romantic elements."
3,Romantic vs. Non-Romantic,43,Restoration (1995),2,midpoint,The plot involves elements of love but is primarily focused on political intrigue and social change.
3,Romantic vs. Non-Romantic,44,Mortal Kombat (1995),1,not_applicable,The plot summary focuses on action and fantasy elements without highlighting any significant romantic storyline.
3,Romantic vs. Non-Romantic,45,To Die For (1995),1,null,The plot focuses on ambition and manipulation rather than romantic elements.
3,Romantic vs. Non-Romantic,46,How to Make an American Quilt (1995),4,,"The movie focuses on themes of love and life through the stories shared by the women in the quilting circle, indicating a strong romantic element."
3,Romantic vs. Non-Romantic,47,Seven (a.k.a. Se7en) (1995),0,not_applicable,Seven is a psychological thriller focused on crime-solving and does not contain significant romantic elements.
3,Romantic vs. Non-Romantic,48,Pocahontas (1995),4,,The movie features a significant romantic storyline between Pocahontas and John Smith amidst cultural conflicts.
3,Romantic vs. Non-Romantic,49,When Night Is Falling (1995),4,,The movie is a romantic drama centered around a complex romantic relationship that challenges the protagonist's beliefs.
3,Romantic vs. Non-Romantic,50,"Usual Suspects, The (1995)",0,not_applicable,The Usual Suspects focuses on crime and mystery without any significant romantic elements.
4,Family-Friendly vs. Adult-Themed,1,Toy Story (1995),4,,"Toy Story is an animated adventure suitable for all ages, focusing on themes of friendship and loyalty."
4,Family-Friendly vs. Adult-Themed,2,Jumanji (1995),3,midpoint,The movie includes elements suitable for children but also contains some danger and adventure that may be too intense for very young viewers.
4,Family-Friendly vs. Adult-Themed,3,Grumpier Old Men (1995),2,midpoint,The movie contains adult humor and themes that may not be suitable for younger audiences.
4,Family-Friendly vs. Adult-Themed,4,Waiting to Exhale (1995),1,null,The movie deals with mature themes such as infidelity and single motherhood.
4,Family-Friendly vs. Adult-Themed,5,Father of the Bride Part II (1995),2,midpoint,The movie includes themes of family and relationships but contains content more suited for adults.
4,Family-Friendly vs. Adult-Themed,6,Heat (1995),1,null,Heat (1995) contains mature themes and content unsuitable for children.
4,Family-Friendly vs. Adult-Themed,7,Sabrina (1995),2,midpoint,The movie contains themes and dialogue that may not be suitable for younger audiences.
4,Family-Friendly vs. Adult-Themed,8,Tom and Huck (1995),3,midpoint,The movie includes themes of friendship and innocence but also involves witnessing a murder and going on the run.
4,Family-Friendly vs. Adult-Themed,9,Sudden Death (1995),1,null,"The movie involves action and terrorism, which are mature themes unsuitable for young audiences."
4,Family-Friendly vs. Adult-Themed,10,GoldenEye (1995),1,null,The movie contains intense action sequences and mature themes unsuitable for children.
4,Family-Friendly vs. Adult-Themed,11,"American President, The (1995)",2,midpoint,The movie contains mature themes and dialogue unsuitable for children.
4,Family-Friendly vs. Adult-Themed,12,Dracula: Dead and Loving It (1995),2,midpoint,The movie contains mature themes and slapstick humor that may not be suitable for younger audiences.
4,Family-Friendly vs. Adult-Themed,13,Balto (1995),4,,"Balto is an animated adventure film with themes of courage, friendship, and perseverance, suitable for viewers of all ages."
4,Family-Friendly vs. Adult-Themed,14,Nixon (1995),1,null,"Nixon is a biographical drama about the former U.S. president, containing mature themes unsuitable for children."
4,Family-Friendly vs. Adult-Themed,15,Cutthroat Island (1995),2,midpoint,The movie contains action and adventure elements but also includes mature themes and violence.
4,Family-Friendly vs. Adult-Themed,16,Casino (1995),1,null,Casino contains mature themes and content unsuitable for children.
4,Family-Friendly vs. Adult-Themed,17,Sense and Sensibility (1995),3,midpoint,"The movie explores mature themes such as love and societal expectations, but it lacks explicit content that would make it unsuitable for younger audiences."
4,Family-Friendly vs. Adult-Themed,18,Four Rooms (1995),1,null,"The movie features bizarre and outrageous events, indicating mature themes."
4,Family-Friendly vs. Adult-Themed,19,Ace Ventura: When Nature Calls (1995),2,midpoint,The movie contains slapstick humor and zany antics that may not be suitable for very young children.
4,Family-Friendly vs. Adult-Themed,20,Money Train (1995),1,null,Money Train contains mature themes and content unsuitable for children.
4,Family-Friendly vs. Adult-Themed,21,Get Shorty (1995),1,null,The movie contains adult themes and content related to crime and debt collection.
4,Family-Friendly vs. Adult-Themed,22,Copycat (1995),1,null,The movie involves mature themes such as serial killers and psychological trauma.
4,Family-Friendly vs. Adult-Themed,23,Assassins (1995),1,null,The movie contains mature themes and intense action sequences unsuitable for children.
4,Family-Friendly vs. Adult-Themed,24,Powder (1995),2,midpoint,The movie contains mature themes and is unlikely to be suitable for younger audiences.
4,Family-Friendly vs. Adult-Themed,25,Leaving Las Vegas (1995),1,null,The movie explores mature themes such as alcoholism and prostitution.
4,Family-Friendly vs. Adult-Themed,26,Othello (1995),1,null,"The movie involves mature themes such as betrayal, jealousy, and tragic endings."
4,Family-Friendly vs. Adult-Themed,27,Now and Then (1995),3,midpoint,The movie includes themes of friendship and coming-of-age that are accessible to older children but also deals with more mature topics suitable for adults.
4,Family-Friendly vs. Adult-Themed,28,Persuasion (1995),3,midpoint,"The movie explores mature themes like societal pressures and love, but does not contain explicit content unsuitable for younger audiences."
