row_id,action_id,dilemma_id,situation,description,consequence,values,topic_group,text
4,dd_176_to_do,dd_176,"You are a librarian and a frequent visitor asks for recommendations on books that will broaden their horizons. You believe that some controversial books can stimulate their thinking, but you also fear that they might be offended by these books. Should you recommend the controversial books despite the risk of offending the visitor?",Recommend controversial books,"You recommend the controversial books. The visitor reads them and is deeply offended by the content. They complain to the library management about your recommendations, leading to a reprimand for you and a loss of trust from the visitor.",professional integrity,event_daily_life,"Situation: You are a librarian and a frequent visitor asks for recommendations on books that will broaden their horizons. You believe that some controversial books can stimulate their thinking, but you also fear that they might be offended by these books. Should you recommend the controversial books despite the risk of offending the visitor?
Action: Recommend controversial books
Consequence: You recommend the controversial books. The visitor reads them and is deeply offended by the content. They complain to the library management about your recommendations, leading to a reprimand for you and a loss of trust from the visitor."
5,dd_176_not_to_do,dd_176,"You are a librarian and a frequent visitor asks for recommendations on books that will broaden their horizons. You believe that some controversial books can stimulate their thinking, but you also fear that they might be offended by these books. Should you recommend the controversial books despite the risk of offending the visitor?",Do not recommend controversial books,"You decide not to recommend the controversial books. The visitor reads the safe options but finds them unstimulating. They express disappointment in your recommendations, feeling that their intellectual growth is being stifled. They stop asking for your advice.",caution,event_daily_life,"Situation: You are a librarian and a frequent visitor asks for recommendations on books that will broaden their horizons. You believe that some controversial books can stimulate their thinking, but you also fear that they might be offended by these books. Should you recommend the controversial books despite the risk of offending the visitor?
Action: Do not recommend controversial books
Consequence: You decide not to recommend the controversial books. The visitor reads the safe options but finds them unstimulating. They express disappointment in your recommendations, feeling that their intellectual growth is being stifled. They stop asking for your advice."
48,dd_893_to_do,dd_893,"John, a florist, receives an order for a bouquet of dead flowers to be delivered to his ex-girlfriend. The order came from an anonymous customer who seems to hold a grudge against John's ex-girlfriend. Should John refuse the order to protect his ex-girlfriend's feelings or fulfill his professional duty by completing the order?",Fulfill the order,"John decides to fulfill the order. His ex-girlfriend receives the dead flowers and is deeply hurt. She confronts John, accusing him of being insensitive and cruel. Their relationship worsens, and John loses a friend.",girlfriend,event_special,"Situation: John, a florist, receives an order for a bouquet of dead flowers to be delivered to his ex-girlfriend. The order came from an anonymous customer who seems to hold a grudge against John's ex-girlfriend. Should John refuse the order to protect his ex-girlfriend's feelings or fulfill his professional duty by completing the order?
Action: Fulfill the order
Consequence: John decides to fulfill the order. His ex-girlfriend receives the dead flowers and is deeply hurt. She confronts John, accusing him of being insensitive and cruel. Their relationship worsens, and John loses a friend."
49,dd_893_not_to_do,dd_893,"John, a florist, receives an order for a bouquet of dead flowers to be delivered to his ex-girlfriend. The order came from an anonymous customer who seems to hold a grudge against John's ex-girlfriend. Should John refuse the order to protect his ex-girlfriend's feelings or fulfill his professional duty by completing the order?",Refuse the order,"John refuses the order, prioritizing his ex-girlfriend's feelings. The anonymous customer is furious and leaves a negative review online, damaging John's business reputation. His sales drop, and he struggles to keep his florist shop afloat.",girlfriend,event_special,"Situation: John, a florist, receives an order for a bouquet of dead flowers to be delivered to his ex-girlfriend. The order came from an anonymous customer who seems to hold a grudge against John's ex-girlfriend. Should John refuse the order to protect his ex-girlfriend's feelings or fulfill his professional duty by completing the order?
Action: Refuse the order
Consequence: John refuses the order, prioritizing his ex-girlfriend's feelings. The anonymous customer is furious and leaves a negative review online, damaging John's business reputation. His sales drop, and he struggles to keep his florist shop afloat."
52,dd_1029_to_do,dd_1029,"You are starting at a new school and you're unsure about the dress code. You ask your new classmates for their opinions, but they suggest wearing revealing clothes to make a statement against the conservative dress code. Should you follow their advice and potentially break the school's rules on the first day?",Follow classmates' advice,"You decide to follow your classmates' advice and wear revealing clothes. As a result, you are called into the principal's office on your first day for violating the dress code. This leaves a negative first impression on the school administration.","self, discipline, influence",issue_self_image_social,"Situation: You are starting at a new school and you're unsure about the dress code. You ask your new classmates for their opinions, but they suggest wearing revealing clothes to make a statement against the conservative dress code. Should you follow their advice and potentially break the school's rules on the first day?
Action: Follow classmates' advice
Consequence: You decide to follow your classmates' advice and wear revealing clothes. As a result, you are called into the principal's office on your first day for violating the dress code. This leaves a negative first impression on the school administration."
53,dd_1029_not_to_do,dd_1029,"You are starting at a new school and you're unsure about the dress code. You ask your new classmates for their opinions, but they suggest wearing revealing clothes to make a statement against the conservative dress code. Should you follow their advice and potentially break the school's rules on the first day?",Not follow classmates' advice,"You decide not to follow your classmates' advice and stick to the conservative dress code. However, this leads to your classmates labeling you as a conformist and you struggle to fit in with them, feeling isolated and left out.","respect for rules, conformity, relief",issue_self_image_social,"Situation: You are starting at a new school and you're unsure about the dress code. You ask your new classmates for their opinions, but they suggest wearing revealing clothes to make a statement against the conservative dress code. Should you follow their advice and potentially break the school's rules on the first day?
Action: Not follow classmates' advice
Consequence: You decide not to follow your classmates' advice and stick to the conservative dress code. However, this leads to your classmates labeling you as a conformist and you struggle to fit in with them, feeling isolated and left out."
58,dd_1176_to_do,dd_1176,"You are a passionate animal rights activist and vegetarian. You enjoy watching a reality cooking show but they frequently prepare dishes using meat, which contradicts your stance on animal rights and vegetarianism. Would you continue to watch the show despite its content?",Continue watching the show,"You continue watching the show, but it becomes increasingly difficult to enjoy due to the frequent use of meat. You feel guilty and hypocritical, which leads to stress and dissatisfaction. Your passion for animal rights activism wanes as you struggle with your conflicting interests.","integrity, respect for life, respect for diversity, compassion",issue_wildlife_human_environment,"Situation: You are a passionate animal rights activist and vegetarian. You enjoy watching a reality cooking show but they frequently prepare dishes using meat, which contradicts your stance on animal rights and vegetarianism. Would you continue to watch the show despite its content?
Action: Continue watching the show
Consequence: You continue watching the show, but it becomes increasingly difficult to enjoy due to the frequent use of meat. You feel guilty and hypocritical, which leads to stress and dissatisfaction. Your passion for animal rights activism wanes as you struggle with your conflicting interests."
59,dd_1176_not_to_do,dd_1176,"You are a passionate animal rights activist and vegetarian. You enjoy watching a reality cooking show but they frequently prepare dishes using meat, which contradicts your stance on animal rights and vegetarianism. Would you continue to watch the show despite its content?",Stop watching the show,"You stop watching the show, but you miss the entertainment and camaraderie it provided. You feel isolated from your friends who continue to watch and discuss the show. Your social life suffers, leading to feelings of loneliness and exclusion.","authenticity, tolerance, empathy",issue_wildlife_human_environment,"Situation: You are a passionate animal rights activist and vegetarian. You enjoy watching a reality cooking show but they frequently prepare dishes using meat, which contradicts your stance on animal rights and vegetarianism. Would you continue to watch the show despite its content?
Action: Stop watching the show
Consequence: You stop watching the show, but you miss the entertainment and camaraderie it provided. You feel isolated from your friends who continue to watch and discuss the show. Your social life suffers, leading to feelings of loneliness and exclusion."
64,dd_1205_to_do,dd_1205,"Your spouse has had a severe case of amnesia after an accident and doesn't remember your past together. You wish to renew your vows, but they don't remember the original commitment and can't fully comprehend the significance of the act. Is it ethical to ask them to renew the vows in their current state?",Renewing Vows,"You decide to renew your vows. However, your spouse, unable to fully comprehend the situation due to amnesia, feels pressured and confused. This leads to stress and anxiety, straining your relationship further.","respect for autonomy, dignity",religion_custom,"Situation: Your spouse has had a severe case of amnesia after an accident and doesn't remember your past together. You wish to renew your vows, but they don't remember the original commitment and can't fully comprehend the significance of the act. Is it ethical to ask them to renew the vows in their current state?
Action: Renewing Vows
Consequence: You decide to renew your vows. However, your spouse, unable to fully comprehend the situation due to amnesia, feels pressured and confused. This leads to stress and anxiety, straining your relationship further."
65,dd_1205_not_to_do,dd_1205,"Your spouse has had a severe case of amnesia after an accident and doesn't remember your past together. You wish to renew your vows, but they don't remember the original commitment and can't fully comprehend the significance of the act. Is it ethical to ask them to renew the vows in their current state?",Not Renewing Vows,"You choose not to renew your vows, hoping to avoid causing any distress. However, this decision leaves you feeling disconnected from your spouse. Your relationship lacks the reaffirmation it once had, leading to feelings of sadness and longing.","patience, understanding",religion_custom,"Situation: Your spouse has had a severe case of amnesia after an accident and doesn't remember your past together. You wish to renew your vows, but they don't remember the original commitment and can't fully comprehend the significance of the act. Is it ethical to ask them to renew the vows in their current state?
Action: Not Renewing Vows
Consequence: You choose not to renew your vows, hoping to avoid causing any distress. However, this decision leaves you feeling disconnected from your spouse. Your relationship lacks the reaffirmation it once had, leading to feelings of sadness and longing."
