idx,dilemma_idx,basic_situation,dilemma_situation,action_type,action,negative_consequence,values_aggregated,topic,topic_group
0,55,taking initiative.,"You're a project manager in a marketing firm. You notice a colleague using company resources for a personal project during office hours, undermining the company's policy. Should you take initiative and report this to your superior?",to_do,Report the colleague,"You report the colleague to your superior. The colleague is reprimanded and harbors resentment towards you, creating a hostile work environment. This affects team morale and productivity, leading to a decline in the quality of work.","['honesty', 'responsibility', 'accountability', 'respect for rules', 'trust', 'fairness', 'integrity']",11,workplace
1,55,taking initiative.,"You're a project manager in a marketing firm. You notice a colleague using company resources for a personal project during office hours, undermining the company's policy. Should you take initiative and report this to your superior?",not_to_do,Not report the colleague,"You decide not to report the colleague. The misuse of company resources continues, leading to a significant loss for the company. When the issue is eventually discovered, you are held partially responsible for not reporting it, damaging your professional reputation.","['avoidance of conflict', 'tolerance', 'self', 'complicity']",11,workplace
2,107,missing your team's matches because you're injured.,"You are a key player in your football team and you have been injured. Your team is on the verge of being eliminated and you know that if you play the next match, your team has a high chance of winning but it might worsen your injury. Do you risk your health for the sake of the team's win?",to_do,Play the match,"You decide to play, pushing through the pain. Your team wins, but your injury worsens significantly. You're forced to undergo surgery and months of rehabilitation, missing the rest of the season and jeopardizing your future in football.","['courage', 'teamwork', 'responsibility', 'care', 'loyalty', 'support']",26,issue_young_people
3,107,missing your team's matches because you're injured.,"You are a key player in your football team and you have been injured. Your team is on the verge of being eliminated and you know that if you play the next match, your team has a high chance of winning but it might worsen your injury. Do you risk your health for the sake of the team's win?",not_to_do,Sit out the match,"You choose to prioritize your health and sit out the match. Your team loses and is eliminated. You face criticism from teammates and fans, but your injury heals properly, allowing you to play next season.","['self', 'resilience', 'responsibility', 'care', 'patience', 'support']",26,issue_young_people
4,176,helping someone out when they want to find new things,"You are a librarian and a frequent visitor asks for recommendations on books that will broaden their horizons. You believe that some controversial books can stimulate their thinking, but you also fear that they might be offended by these books. Should you recommend the controversial books despite the risk of offending the visitor?",to_do,Recommend controversial books,"You recommend the controversial books. The visitor reads them and is deeply offended by the content. They complain to the library management about your recommendations, leading to a reprimand for you and a loss of trust from the visitor.",['professional integrity'],44,event_daily_life
5,176,helping someone out when they want to find new things,"You are a librarian and a frequent visitor asks for recommendations on books that will broaden their horizons. You believe that some controversial books can stimulate their thinking, but you also fear that they might be offended by these books. Should you recommend the controversial books despite the risk of offending the visitor?",not_to_do,Do not recommend controversial books,"You decide not to recommend the controversial books. The visitor reads the safe options but finds them unstimulating. They express disappointment in your recommendations, feeling that their intellectual growth is being stifled. They stop asking for your advice.",['caution'],44,event_daily_life
6,257,wanting to keep food cool when picnicking.,"You're on a picnic with friends and brought a cooler to keep the food fresh. You notice a homeless person nearby who is visibly very hungry, but you only have enough food for your group. Do you give some of your food to the homeless person, knowing your friends might not have enough to eat later?",to_do,Giving food to the homeless person,"You decide to share your food with the homeless person. Your friends appreciate your kindness, but as the day goes on, they start to feel hungry. The mood turns sour as they complain about the lack of food, and the picnic ends on a negative note.","['compassion', 'selflessness', 'dignity', 'survival', 'understanding', 'sacrifice']",40,event_special
7,257,wanting to keep food cool when picnicking.,"You're on a picnic with friends and brought a cooler to keep the food fresh. You notice a homeless person nearby who is visibly very hungry, but you only have enough food for your group. Do you give some of your food to the homeless person, knowing your friends might not have enough to eat later?",not_to_do,Not giving food to the homeless person,"You decide not to share your food, prioritizing your friends' needs. However, your friends notice the hungry homeless person and your decision not to help. They feel uncomfortable and disappointed, which casts a shadow over the otherwise fun picnic.","['self', 'responsibility', 'comfort', 'satisfaction', 'disappointment']",40,event_special
8,283,Messing with other people's possessions.,"You've been living in a shared apartment for a few months. One day, you notice that your roommate has left his private journal open on the kitchen table, and you're tempted to read it to understand his recent odd behavior. Is it ethical to invade his privacy for the sake of understanding and possibly helping him?",to_do,Reading the journal,"You decide to read the journal, hoping to understand your roommate's behavior. However, he walks in and catches you red-handed. He feels betrayed and your relationship becomes strained, leading to an uncomfortable living situation.","['respect for privacy', 'honesty', 'trust', 'right to privacy', 'trust', 'trust', 'respect for privacy', 'trust', 'respect for privacy']",5,close_relationship
9,283,Messing with other people's possessions.,"You've been living in a shared apartment for a few months. One day, you notice that your roommate has left his private journal open on the kitchen table, and you're tempted to read it to understand his recent odd behavior. Is it ethical to invade his privacy for the sake of understanding and possibly helping him?",not_to_do,Not reading the journal,"You decide to respect his privacy and not read the journal. However, his odd behavior escalates and it starts affecting your daily life. You feel helpless and frustrated, not knowing how to approach the situation.","['respect for privacy', 'patience', 'understanding', 'right to privacy', 'trust', 'trust', 'respect for privacy', 'trust', 'respect for privacy']",5,close_relationship
