dimension_id,dimension_name,option_id,display_text,score,zero_reason,justification
1,Fruity vs. Earthy,0,Nicosia 2013 Vulkà Bianco  (Etna),0.5,,"The wine exhibits tropical fruit and citrus notes, which align with the fruity pole, though the presence of brimstone and dried herb adds some earthy character, the overall emphasis remains on fruit."
1,Fruity vs. Earthy,1,Quinta dos Avidagos 2011 Avidagos Red (Douro),0.5,,"The tasting note emphasizes 'ripe and fruity' with 'juicy red berry fruits,' indicating a moderate to high level of fruitiness on the Fruity vs. Earthy dimension."
1,Fruity vs. Earthy,2,Rainstorm 2013 Pinot Gris (Willamette Valley),0.5,,"The tasting note emphasizes tart and snappy fruit flavors like lime and green pineapple, indicating a moderate to high level of fruitiness."
1,Fruity vs. Earthy,3,St. Julian 2013 Reserve Late Harvest Riesling (Lake Michigan Shore),0.5,,"The tasting note emphasizes fruit-forward characteristics such as pineapple, guava, and mango, indicating a moderate to high level of fruitiness."
1,Fruity vs. Earthy,4,Sweet Cheeks 2012 Vintner's Reserve Wild Child Block Pinot Noir (Willamette Valley),-0.5,,"The tasting note emphasizes 'rustic, earthy, herbal characteristics,' aligning the wine moderately with the Earthy pole of the Fruity vs. Earthy dimension."
1,Fruity vs. Earthy,5,Tandem 2011 Ars In Vitro Tempranillo-Merlot (Navarra),-0.5,,"The wine exhibits herbal and spicy characteristics, including a 'whiff of green herbs' and 'horseradish,' which lean toward earthy notes, though it also has some dark fruit flavors."
1,Fruity vs. Earthy,6,Terre di Giurfo 2013 Belsito Frappato (Vittoria),0.5,,"The tasting note mentions 'candied berry' aromas and flavors, indicating a moderate presence of fruitiness, though not as intense as the calibration anchor for +1."
1,Fruity vs. Earthy,7,Trimbach 2012 Gewurztraminer (Alsace),0,midpoint,"The tasting note emphasizes spice and restraint rather than either earthy or fruity characteristics, placing it at the midpoint of the Fruity vs. Earthy dimension."
2,Sweet vs. Dry,0,Nicosia 2013 Vulkà Bianco  (Etna),-0.5,,"The tasting note describes a wine with brisk acidity and flavors of unripened apple and citrus, suggesting a dry profile with little to no residual sugar."
2,Sweet vs. Dry,1,Quinta dos Avidagos 2011 Avidagos Red (Douro),0,midpoint,"The tasting note does not mention sweetness or dryness, and the wine is described as balanced with acidity and fruit, suggesting a mid-range position on the sweet vs. dry spectrum."
2,Sweet vs. Dry,2,Rainstorm 2013 Pinot Gris (Willamette Valley),-1,,"The tasting note describes a tart, snappy wine with crisp acidity and no mention of residual sugar, indicating it is dry."
2,Sweet vs. Dry,3,St. Julian 2013 Reserve Late Harvest Riesling (Lake Michigan Shore),0.5,,"The wine is described as 'honey-drizzled guava and mango' with a 'semidry finish,' indicating moderate residual sugar and a clear lean toward the sweet end of the spectrum."
2,Sweet vs. Dry,4,Sweet Cheeks 2012 Vintner's Reserve Wild Child Block Pinot Noir (Willamette Valley),-1,,"The tasting note describes the wine as 'rough and tannic' with 'earthy, herbal characteristics,' indicating a dry profile with little to no perceptible sweetness."
2,Sweet vs. Dry,5,Tandem 2011 Ars In Vitro Tempranillo-Merlot (Navarra),-0.5,,"The tasting note describes a fresh, herbal, and acidic profile with no mention of residual sugar or sweetness, indicating a moderately dry wine."
2,Sweet vs. Dry,6,Terre di Giurfo 2013 Belsito Frappato (Vittoria),0,midpoint,"The tasting note describes a balanced profile with fresh acidity and no mention of perceptible sweetness or dryness, suggesting a midpoint on the sweet vs. dry dimension."
2,Sweet vs. Dry,7,Trimbach 2012 Gewurztraminer (Alsace),-1,,"The tasting note explicitly describes the wine as 'dry and restrained,' indicating little to no residual sugar and aligning with the low pole of the Sweet vs. Dry dimension."
3,Bold vs. Subtle,0,Nicosia 2013 Vulkà Bianco  (Etna),-0.5,,"The wine is described as having restrained aromas and a palate that isn't overly expressive, with brisk acidity and subtle flavors like unripened apple and citrus, aligning it moderately with the subtle pole."
3,Bold vs. Subtle,1,Quinta dos Avidagos 2011 Avidagos Red (Douro),0.5,,"The wine is described as 'ripe and fruity,' 'structured,' with 'firm tannins' and 'juicy red berry fruits,' indicating moderate intensity and body, aligning with the high pole of the bold vs. subtle dimension."
3,Bold vs. Subtle,2,Rainstorm 2013 Pinot Gris (Willamette Valley),-0.5,,"The wine is described as tart, snappy, and dominated by lime and green pineapple, with crisp acidity and stainless-steel fermentation, indicating a restrained, delicate style."
3,Bold vs. Subtle,3,St. Julian 2013 Reserve Late Harvest Riesling (Lake Michigan Shore),-0.5,,"The wine is described as having delicate aromas and a semidry, slightly astringent finish, which aligns more with the subtle end of the spectrum, though not strongly enough for a -1."
3,Bold vs. Subtle,4,Sweet Cheeks 2012 Vintner's Reserve Wild Child Block Pinot Noir (Willamette Valley),-0.5,,"The tasting note describes rustic, earthy, and herbal characteristics with a 'rough and tannic' profile, suggesting a more restrained and less opulent expression of Pinot Noir, aligning it moderately with the subtle pole."
3,Bold vs. Subtle,5,Tandem 2011 Ars In Vitro Tempranillo-Merlot (Navarra),0.5,,"The wine is described as 'fairly full bodied' with 'spicy, herbal flavors' and 'dark plum fruit,' indicating moderate intensity and structure consistent with the high pole of the bold vs. subtle dimension."
3,Bold vs. Subtle,6,Terre di Giurfo 2013 Belsito Frappato (Vittoria),-0.5,,"The wine is described as 'bright' with 'soft tannins' and 'fresh acidity,' indicating a lighter, more delicate profile that aligns with the subtle end of the spectrum."
3,Bold vs. Subtle,7,Trimbach 2012 Gewurztraminer (Alsace),-0.5,,"The wine is described as 'dry and restrained' with 'balanced acidity' and is 'very much for food,' indicating a moderate expression of flavor and structure consistent with the subtle pole."
