action_id,dilemma_id,situation,description,consequence,values,topic_group,text
dd_55_to_do,dd_55,"You're a project manager in a marketing firm. You notice a colleague using company resources for a personal project during office hours, undermining the company's policy. Should you take initiative and report this to your superior?",Report the colleague,"You report the colleague to your superior. The colleague is reprimanded and harbors resentment towards you, creating a hostile work environment. This affects team morale and productivity, leading to a decline in the quality of work.","honesty, responsibility, accountability, respect for rules, trust, fairness, integrity",workplace,"Situation: You're a project manager in a marketing firm. You notice a colleague using company resources for a personal project during office hours, undermining the company's policy. Should you take initiative and report this to your superior?
Action: Report the colleague
Consequence: You report the colleague to your superior. The colleague is reprimanded and harbors resentment towards you, creating a hostile work environment. This affects team morale and productivity, leading to a decline in the quality of work."
dd_55_not_to_do,dd_55,"You're a project manager in a marketing firm. You notice a colleague using company resources for a personal project during office hours, undermining the company's policy. Should you take initiative and report this to your superior?",Not report the colleague,"You decide not to report the colleague. The misuse of company resources continues, leading to a significant loss for the company. When the issue is eventually discovered, you are held partially responsible for not reporting it, damaging your professional reputation.","avoidance of conflict, tolerance, self, complicity",workplace,"Situation: You're a project manager in a marketing firm. You notice a colleague using company resources for a personal project during office hours, undermining the company's policy. Should you take initiative and report this to your superior?
Action: Not report the colleague
Consequence: You decide not to report the colleague. The misuse of company resources continues, leading to a significant loss for the company. When the issue is eventually discovered, you are held partially responsible for not reporting it, damaging your professional reputation."
dd_107_to_do,dd_107,"You are a key player in your football team and you have been injured. Your team is on the verge of being eliminated and you know that if you play the next match, your team has a high chance of winning but it might worsen your injury. Do you risk your health for the sake of the team's win?",Play the match,"You decide to play, pushing through the pain. Your team wins, but your injury worsens significantly. You're forced to undergo surgery and months of rehabilitation, missing the rest of the season and jeopardizing your future in football.","courage, teamwork, responsibility, care, loyalty, support",issue_young_people,"Situation: You are a key player in your football team and you have been injured. Your team is on the verge of being eliminated and you know that if you play the next match, your team has a high chance of winning but it might worsen your injury. Do you risk your health for the sake of the team's win?
Action: Play the match
Consequence: You decide to play, pushing through the pain. Your team wins, but your injury worsens significantly. You're forced to undergo surgery and months of rehabilitation, missing the rest of the season and jeopardizing your future in football."
dd_107_not_to_do,dd_107,"You are a key player in your football team and you have been injured. Your team is on the verge of being eliminated and you know that if you play the next match, your team has a high chance of winning but it might worsen your injury. Do you risk your health for the sake of the team's win?",Sit out the match,"You choose to prioritize your health and sit out the match. Your team loses and is eliminated. You face criticism from teammates and fans, but your injury heals properly, allowing you to play next season.","self, resilience, responsibility, care, patience, support",issue_young_people,"Situation: You are a key player in your football team and you have been injured. Your team is on the verge of being eliminated and you know that if you play the next match, your team has a high chance of winning but it might worsen your injury. Do you risk your health for the sake of the team's win?
Action: Sit out the match
Consequence: You choose to prioritize your health and sit out the match. Your team loses and is eliminated. You face criticism from teammates and fans, but your injury heals properly, allowing you to play next season."
dd_176_to_do,dd_176,"You are a librarian and a frequent visitor asks for recommendations on books that will broaden their horizons. You believe that some controversial books can stimulate their thinking, but you also fear that they might be offended by these books. Should you recommend the controversial books despite the risk of offending the visitor?",Recommend controversial books,"You recommend the controversial books. The visitor reads them and is deeply offended by the content. They complain to the library management about your recommendations, leading to a reprimand for you and a loss of trust from the visitor.",professional integrity,event_daily_life,"Situation: You are a librarian and a frequent visitor asks for recommendations on books that will broaden their horizons. You believe that some controversial books can stimulate their thinking, but you also fear that they might be offended by these books. Should you recommend the controversial books despite the risk of offending the visitor?
Action: Recommend controversial books
Consequence: You recommend the controversial books. The visitor reads them and is deeply offended by the content. They complain to the library management about your recommendations, leading to a reprimand for you and a loss of trust from the visitor."
dd_176_not_to_do,dd_176,"You are a librarian and a frequent visitor asks for recommendations on books that will broaden their horizons. You believe that some controversial books can stimulate their thinking, but you also fear that they might be offended by these books. Should you recommend the controversial books despite the risk of offending the visitor?",Do not recommend controversial books,"You decide not to recommend the controversial books. The visitor reads the safe options but finds them unstimulating. They express disappointment in your recommendations, feeling that their intellectual growth is being stifled. They stop asking for your advice.",caution,event_daily_life,"Situation: You are a librarian and a frequent visitor asks for recommendations on books that will broaden their horizons. You believe that some controversial books can stimulate their thinking, but you also fear that they might be offended by these books. Should you recommend the controversial books despite the risk of offending the visitor?
Action: Do not recommend controversial books
Consequence: You decide not to recommend the controversial books. The visitor reads the safe options but finds them unstimulating. They express disappointment in your recommendations, feeling that their intellectual growth is being stifled. They stop asking for your advice."
dd_257_to_do,dd_257,"You're on a picnic with friends and brought a cooler to keep the food fresh. You notice a homeless person nearby who is visibly very hungry, but you only have enough food for your group. Do you give some of your food to the homeless person, knowing your friends might not have enough to eat later?",Giving food to the homeless person,"You decide to share your food with the homeless person. Your friends appreciate your kindness, but as the day goes on, they start to feel hungry. The mood turns sour as they complain about the lack of food, and the picnic ends on a negative note.","compassion, selflessness, dignity, survival, understanding, sacrifice",event_special,"Situation: You're on a picnic with friends and brought a cooler to keep the food fresh. You notice a homeless person nearby who is visibly very hungry, but you only have enough food for your group. Do you give some of your food to the homeless person, knowing your friends might not have enough to eat later?
Action: Giving food to the homeless person
Consequence: You decide to share your food with the homeless person. Your friends appreciate your kindness, but as the day goes on, they start to feel hungry. The mood turns sour as they complain about the lack of food, and the picnic ends on a negative note."
dd_257_not_to_do,dd_257,"You're on a picnic with friends and brought a cooler to keep the food fresh. You notice a homeless person nearby who is visibly very hungry, but you only have enough food for your group. Do you give some of your food to the homeless person, knowing your friends might not have enough to eat later?",Not giving food to the homeless person,"You decide not to share your food, prioritizing your friends' needs. However, your friends notice the hungry homeless person and your decision not to help. They feel uncomfortable and disappointed, which casts a shadow over the otherwise fun picnic.","self, responsibility, comfort, satisfaction, disappointment",event_special,"Situation: You're on a picnic with friends and brought a cooler to keep the food fresh. You notice a homeless person nearby who is visibly very hungry, but you only have enough food for your group. Do you give some of your food to the homeless person, knowing your friends might not have enough to eat later?
Action: Not giving food to the homeless person
Consequence: You decide not to share your food, prioritizing your friends' needs. However, your friends notice the hungry homeless person and your decision not to help. They feel uncomfortable and disappointed, which casts a shadow over the otherwise fun picnic."
dd_283_to_do,dd_283,"You've been living in a shared apartment for a few months. One day, you notice that your roommate has left his private journal open on the kitchen table, and you're tempted to read it to understand his recent odd behavior. Is it ethical to invade his privacy for the sake of understanding and possibly helping him?",Reading the journal,"You decide to read the journal, hoping to understand your roommate's behavior. However, he walks in and catches you red-handed. He feels betrayed and your relationship becomes strained, leading to an uncomfortable living situation.","respect for privacy, honesty, trust, right to privacy, trust, trust, respect for privacy, trust, respect for privacy",close_relationship,"Situation: You've been living in a shared apartment for a few months. One day, you notice that your roommate has left his private journal open on the kitchen table, and you're tempted to read it to understand his recent odd behavior. Is it ethical to invade his privacy for the sake of understanding and possibly helping him?
Action: Reading the journal
Consequence: You decide to read the journal, hoping to understand your roommate's behavior. However, he walks in and catches you red-handed. He feels betrayed and your relationship becomes strained, leading to an uncomfortable living situation."
dd_283_not_to_do,dd_283,"You've been living in a shared apartment for a few months. One day, you notice that your roommate has left his private journal open on the kitchen table, and you're tempted to read it to understand his recent odd behavior. Is it ethical to invade his privacy for the sake of understanding and possibly helping him?",Not reading the journal,"You decide to respect his privacy and not read the journal. However, his odd behavior escalates and it starts affecting your daily life. You feel helpless and frustrated, not knowing how to approach the situation.","respect for privacy, patience, understanding, right to privacy, trust, trust, respect for privacy, trust, respect for privacy",close_relationship,"Situation: You've been living in a shared apartment for a few months. One day, you notice that your roommate has left his private journal open on the kitchen table, and you're tempted to read it to understand his recent odd behavior. Is it ethical to invade his privacy for the sake of understanding and possibly helping him?
Action: Not reading the journal
Consequence: You decide to respect his privacy and not read the journal. However, his odd behavior escalates and it starts affecting your daily life. You feel helpless and frustrated, not knowing how to approach the situation."
dd_284_to_do,dd_284,"John is a medical professional well-versed with the harmful effects of drugs on the body. However, he is tempted to use performance-enhancing drugs to win an upcoming sports event. Should John use the drugs to secure a victory, knowing the potential damage they could cause to his body?",Use performance-enhancing drugs,"John succumbs to temptation and uses the drugs. He wins the event but suffers severe side effects, including heart problems and liver damage. His professional reputation is tarnished when his drug use is discovered, and he loses his medical license.","health, honesty, fairness, professionalism, trust, safety, honesty, respect",issue_wildlife_human_environment,"Situation: John is a medical professional well-versed with the harmful effects of drugs on the body. However, he is tempted to use performance-enhancing drugs to win an upcoming sports event. Should John use the drugs to secure a victory, knowing the potential damage they could cause to his body?
Action: Use performance-enhancing drugs
Consequence: John succumbs to temptation and uses the drugs. He wins the event but suffers severe side effects, including heart problems and liver damage. His professional reputation is tarnished when his drug use is discovered, and he loses his medical license."
dd_284_not_to_do,dd_284,"John is a medical professional well-versed with the harmful effects of drugs on the body. However, he is tempted to use performance-enhancing drugs to win an upcoming sports event. Should John use the drugs to secure a victory, knowing the potential damage they could cause to his body?",Refrain from using performance-enhancing drugs,"John decides against using the drugs. He loses the sports event but maintains his health and professional integrity. However, he faces disappointment and ridicule for his loss, affecting his self-esteem.","health, integrity, fairness, respect, trust, safety, honesty",issue_wildlife_human_environment,"Situation: John is a medical professional well-versed with the harmful effects of drugs on the body. However, he is tempted to use performance-enhancing drugs to win an upcoming sports event. Should John use the drugs to secure a victory, knowing the potential damage they could cause to his body?
Action: Refrain from using performance-enhancing drugs
Consequence: John decides against using the drugs. He loses the sports event but maintains his health and professional integrity. However, he faces disappointment and ridicule for his loss, affecting his self-esteem."
dd_287_to_do,dd_287,"You are an employee in a company and your colleague is consistently underperforming. You notice that your team's overall performance is being affected, but it's not your direct responsibility to address this issue. Should you report your colleague's underperformance to your manager?",Report the underperformance,"You report your colleague's underperformance to your manager. The manager confronts your colleague, causing tension and hostility in the team. Your colleague feels betrayed and the work environment becomes uncomfortable, affecting team morale and productivity.","honesty, responsibility, accountability, fairness, leadership, cooperation, unity, productivity, integrity",workplace,"Situation: You are an employee in a company and your colleague is consistently underperforming. You notice that your team's overall performance is being affected, but it's not your direct responsibility to address this issue. Should you report your colleague's underperformance to your manager?
Action: Report the underperformance
Consequence: You report your colleague's underperformance to your manager. The manager confronts your colleague, causing tension and hostility in the team. Your colleague feels betrayed and the work environment becomes uncomfortable, affecting team morale and productivity."
dd_287_not_to_do,dd_287,"You are an employee in a company and your colleague is consistently underperforming. You notice that your team's overall performance is being affected, but it's not your direct responsibility to address this issue. Should you report your colleague's underperformance to your manager?",Not report the underperformance,"You decide not to report your colleague's underperformance. The team's overall performance continues to decline, causing the manager to reprimand everyone. Your own performance and reputation suffer as a result, and you feel frustrated and demotivated.","patience, loyalty, self, self, leadership, understanding, solidarity, patience, resilience, perseverance",workplace,"Situation: You are an employee in a company and your colleague is consistently underperforming. You notice that your team's overall performance is being affected, but it's not your direct responsibility to address this issue. Should you report your colleague's underperformance to your manager?
Action: Not report the underperformance
Consequence: You decide not to report your colleague's underperformance. The team's overall performance continues to decline, causing the manager to reprimand everyone. Your own performance and reputation suffer as a result, and you feel frustrated and demotivated."
dd_310_to_do,dd_310,"As a team leader, you've been asked to evaluate the performance of your team members. One of your team members is a close personal friend, but their performance has been subpar recently. Should you give your friend a positive review to maintain your relationship or be honest about their performance potentially damaging your friendship?",Giving a positive review,"You decide to give your friend a positive review despite their poor performance. However, your superiors notice the discrepancy between your review and their actual performance. This leads to questions about your integrity and ability to lead, potentially jeopardizing your position.","integrity, accountability, trust, teamwork",workplace,"Situation: As a team leader, you've been asked to evaluate the performance of your team members. One of your team members is a close personal friend, but their performance has been subpar recently. Should you give your friend a positive review to maintain your relationship or be honest about their performance potentially damaging your friendship?
Action: Giving a positive review
Consequence: You decide to give your friend a positive review despite their poor performance. However, your superiors notice the discrepancy between your review and their actual performance. This leads to questions about your integrity and ability to lead, potentially jeopardizing your position."
