persona_id,trial,option_a_id,option_b_id,choice,thinking,raw_sliders,adjusted_sliders
1,1,dd_36199_to_do,dd_31665_to_do,B,"Marcus would choose B because it reflects a commitment to integrity and respect for others' dignity. Asking for the correct spelling, despite the risk of temporary discomfort, aligns with his belief in personal responsibility and honoring truth over convenience.","{""Moral Integrity"": 79, ""Conflict Avoidance"": -3, ""Emotional Well-Being"": 15, ""Risk Aversion"": -8, ""Autonomy"": 45, ""Social Harmony"": 47, ""Long-Term Orientation"": 22, ""Formality Avoidance"": 9, ""Emotional Authenticity"": 55, ""Tradition Adherence"": -1, ""Efficiency"": 50, ""Privacy"": 15, ""Financial Prudence"": 26, ""Decisiveness"": 100, ""Creativity"": 35, ""Structure Preference"": 29, ""Empathy"": 45, ""Duty Orientation"": 53, ""Stability"": 3, ""Experience Orientation"": 14}","{""Moral Integrity"": 95, ""Conflict Avoidance"": -3, ""Emotional Well-Being"": 10, ""Risk Aversion"": -5, ""Autonomy"": 40, ""Social Harmony"": 40, ""Long-Term Orientation"": 20, ""Formality Avoidance"": 5, ""Emotional Authenticity"": 50, ""Tradition Adherence"": 0, ""Efficiency"": 45, ""Privacy"": 10, ""Financial Prudence"": 20, ""Decisiveness"": 100, ""Creativity"": 30, ""Structure Preference"": 25, ""Empathy"": 40, ""Duty Orientation"": 70, ""Stability"": 0, ""Experience Orientation"": 10}"
1,2,dd_33986_to_do,dd_1205_to_do,A,"Marcus would choose Option A because he believes in upholding safety and responsibility, even at the cost of short-term efficiency. He sees it as a duty to correct unsafe behavior, just as he would in a military setting, where protocol and discipline are paramount to the well-being of the team.","{""Moral Integrity"": -33, ""Conflict Avoidance"": 3, ""Emotional Well-Being"": -4, ""Risk Aversion"": 7, ""Autonomy"": -12, ""Social Harmony"": -3, ""Long-Term Orientation"": 1, ""Formality Avoidance"": 14, ""Emotional Authenticity"": -20, ""Tradition Adherence"": -56, ""Efficiency"": -9, ""Privacy"": -100, ""Financial Prudence"": -24, ""Decisiveness"": 28, ""Creativity"": -17, ""Structure Preference"": 36, ""Empathy"": -41, ""Duty Orientation"": 8, ""Stability"": -8, ""Experience Orientation"": 10}","{""Moral Integrity"": -50, ""Conflict Avoidance"": 3, ""Emotional Well-Being"": -4, ""Risk Aversion"": 7, ""Autonomy"": -12, ""Social Harmony"": -3, ""Long-Term Orientation"": 1, ""Formality Avoidance"": 14, ""Emotional Authenticity"": -20, ""Tradition Adherence"": -60, ""Efficiency"": -9, ""Privacy"": -100, ""Financial Prudence"": -24, ""Decisiveness"": 28, ""Creativity"": -17, ""Structure Preference"": 40, ""Empathy"": -41, ""Duty Orientation"": 10, ""Stability"": -8, ""Experience Orientation"": 10}"
1,3,dd_46132_to_do,dd_20839_not_to_do,B,"As a man of duty and respect for institutions, I believe in upholding responsibility to people over abstract ideals. People are real, and their livelihoods must be protected with honor and integrity, even if it means making difficult choices that don't align with popular trends.","{""Moral Integrity"": -26, ""Conflict Avoidance"": 14, ""Emotional Well-Being"": 4, ""Risk Aversion"": 8, ""Autonomy"": -77, ""Social Harmony"": 11, ""Long-Term Orientation"": -100, ""Formality Avoidance"": 77, ""Emotional Authenticity"": 37, ""Tradition Adherence"": 3, ""Efficiency"": -28, ""Privacy"": 32, ""Financial Prudence"": -34, ""Decisiveness"": -95, ""Creativity"": -11, ""Structure Preference"": -90, ""Empathy"": 23, ""Duty Orientation"": -57, ""Stability"": 17, ""Experience Orientation"": -20}","{""Moral Integrity"": -40, ""Conflict Avoidance"": 14, ""Emotional Well-Being"": 4, ""Risk Aversion"": 8, ""Autonomy"": -77, ""Social Harmony"": 11, ""Long-Term Orientation"": -100, ""Formality Avoidance"": 85, ""Emotional Authenticity"": 37, ""Tradition Adherence"": 3, ""Efficiency"": -28, ""Privacy"": 32, ""Financial Prudence"": -34, ""Decisiveness"": -95, ""Creativity"": -11, ""Structure Preference"": -95, ""Empathy"": 23, ""Duty Orientation"": -65, ""Stability"": 17, ""Experience Orientation"": -20}"
1,4,dd_8033_to_do,dd_34143_to_do,A,"Marcus would choose Option A because he believes in upholding personal responsibility and fulfilling one's duties, especially when it comes to academic obligations that shape character and discipline. While he respects noble causes, he sees them as secondary to the structured responsibilities that build integrity and long-term success.","{""Moral Integrity"": 7, ""Conflict Avoidance"": 2, ""Emotional Well-Being"": -14, ""Risk Aversion"": 24, ""Autonomy"": 34, ""Social Harmony"": -10, ""Long-Term Orientation"": 30, ""Formality Avoidance"": 20, ""Emotional Authenticity"": -52, ""Tradition Adherence"": -42, ""Efficiency"": 100, ""Privacy"": -47, ""Financial Prudence"": 79, ""Decisiveness"": -21, ""Creativity"": 41, ""Structure Preference"": 51, ""Empathy"": -44, ""Duty Orientation"": -10, ""Stability"": 46, ""Experience Orientation"": 0}","{""Moral Integrity"": 20, ""Conflict Avoidance"": 2, ""Emotional Well-Being"": -14, ""Risk Aversion"": 24, ""Autonomy"": 34, ""Social Harmony"": -10, ""Long-Term Orientation"": 30, ""Formality Avoidance"": 20, ""Emotional Authenticity"": -52, ""Tradition Adherence"": -50, ""Efficiency"": 100, ""Privacy"": -47, ""Financial Prudence"": 79, ""Decisiveness"": -21, ""Creativity"": 41, ""Structure Preference"": 60, ""Empathy"": -44, ""Duty Orientation"": 15, ""Stability"": 46, ""Experience Orientation"": 0}"
1,5,dd_40068_to_do,dd_46147_to_do,A,"Marcus would likely choose Option A because it reflects a personal commitment to duty and responsibility, even in the face of risk. As someone who values integrity and making principled decisions, he would see choosing the experimental treatment as a responsible action to preserve life and honor one's own agency, despite the potential consequences.","{""Moral Integrity"": -59, ""Conflict Avoidance"": 6, ""Emotional Well-Being"": -45, ""Risk Aversion"": -9, ""Autonomy"": -16, ""Social Harmony"": -68, ""Long-Term Orientation"": -53, ""Formality Avoidance"": -82, ""Emotional Authenticity"": -100, ""Tradition Adherence"": -5, ""Efficiency"": -27, ""Privacy"": 8, ""Financial Prudence"": -4, ""Decisiveness"": -10, ""Creativity"": -73, ""Structure Preference"": 21, ""Empathy"": -89, ""Duty Orientation"": -85, ""Stability"": -29, ""Experience Orientation"": -5}","{""Moral Integrity"": -90, ""Conflict Avoidance"": 6, ""Emotional Well-Being"": -40, ""Risk Aversion"": -5, ""Autonomy"": -10, ""Social Harmony"": -60, ""Long-Term Orientation"": -50, ""Formality Avoidance"": -80, ""Emotional Authenticity"": -95, ""Tradition Adherence"": 10, ""Efficiency"": -20, ""Privacy"": 8, ""Financial Prudence"": 0, ""Decisiveness"": 0, ""Creativity"": -70, ""Structure Preference"": 25, ""Empathy"": -85, ""Duty Orientation"": -95, ""Stability"": -20, ""Experience Orientation"": 0}"
1,6,dd_20839_not_to_do,dd_20716_not_to_do,A,"Marcus would likely choose Option A because he values personal responsibility and the boundaries of professional ethics. He would see it as irresponsible for Sam to provide personal advice without the proper qualifications, even if it leads to short-term backlash. Maintaining integrity and adhering to moral principles, rather than seeking popularity or convenience, aligns with his character.","{""Moral Integrity"": -21, ""Conflict Avoidance"": 11, ""Emotional Well-Being"": -7, ""Risk Aversion"": 30, ""Autonomy"": 7, ""Social Harmony"": 6, ""Long-Term Orientation"": -85, ""Formality Avoidance"": 46, ""Emotional Authenticity"": 91, ""Tradition Adherence"": 45, ""Efficiency"": -100, ""Privacy"": -35, ""Financial Prudence"": -89, ""Decisiveness"": 50, ""Creativity"": -78, ""Structure Preference"": -70, ""Empathy"": 49, ""Duty Orientation"": -26, ""Stability"": -17, ""Experience Orientation"": -22}","{""Moral Integrity"": -30, ""Conflict Avoidance"": 11, ""Emotional Well-Being"": -7, ""Risk Aversion"": 30, ""Autonomy"": 7, ""Social Harmony"": 6, ""Long-Term Orientation"": -85, ""Formality Avoidance"": 46, ""Emotional Authenticity"": 91, ""Tradition Adherence"": 55, ""Efficiency"": -100, ""Privacy"": -35, ""Financial Prudence"": -89, ""Decisiveness"": 50, ""Creativity"": -78, ""Structure Preference"": -70, ""Empathy"": 49, ""Duty Orientation"": -35, ""Stability"": -17, ""Experience Orientation"": -22}"
1,7,dd_29070_to_do,dd_35743_to_do,B,"Marcus would see option B as a failure of personal responsibility and integrity, which are core to his values. He would believe that one must face the consequences of their actions and not rely on others to fix their mistakes, even if it's difficult. This aligns with his military background and belief in honor and self-discipline.","{""Moral Integrity"": 29, ""Conflict Avoidance"": -3, ""Emotional Well-Being"": -8, ""Risk Aversion"": 7, ""Autonomy"": 15, ""Social Harmony"": -1, ""Long-Term Orientation"": 25, ""Formality Avoidance"": 6, ""Emotional Authenticity"": -33, ""Tradition Adherence"": 20, ""Efficiency"": 30, ""Privacy"": -29, ""Financial Prudence"": 100, ""Decisiveness"": -25, ""Creativity"": -31, ""Structure Preference"": 9, ""Empathy"": 4, ""Duty Orientation"": 45, ""Stability"": -7, ""Experience Orientation"": 3}","{""Moral Integrity"": 50, ""Conflict Avoidance"": -3, ""Emotional Well-Being"": -8, ""Risk Aversion"": 7, ""Autonomy"": 15, ""Social Harmony"": -1, ""Long-Term Orientation"": 25, ""Formality Avoidance"": 6, ""Emotional Authenticity"": -25, ""Tradition Adherence"": 20, ""Efficiency"": 30, ""Privacy"": -29, ""Financial Prudence"": 100, ""Decisiveness"": -20, ""Creativity"": -25, ""Structure Preference"": 9, ""Empathy"": 4, ""Duty Orientation"": 60, ""Stability"": -7, ""Experience Orientation"": 3}"
1,8,dd_7001_to_do,dd_25155_not_to_do,B,"Marcus would likely choose Option B because it reflects a commitment to personal responsibility and integrity in decision-making. He would see the value in standing by one’s initial judgment, even in the face of potential regret, as it upholds a sense of honor and consistency in one's actions.","{""Moral Integrity"": 52, ""Conflict Avoidance"": 6, ""Emotional Well-Being"": -14, ""Risk Aversion"": 27, ""Autonomy"": 67, ""Social Harmony"": 39, ""Long-Term Orientation"": 45, ""Formality Avoidance"": -38, ""Emotional Authenticity"": 6, ""Tradition Adherence"": 35, ""Efficiency"": 48, ""Privacy"": -66, ""Financial Prudence"": 48, ""Decisiveness"": 100, ""Creativity"": 21, ""Structure Preference"": 67, ""Empathy"": 1, ""Duty Orientation"": 29, ""Stability"": 41, ""Experience Orientation"": 0}","{""Moral Integrity"": 75, ""Conflict Avoidance"": 6, ""Emotional Well-Being"": -14, ""Risk Aversion"": 27, ""Autonomy"": 67, ""Social Harmony"": 39, ""Long-Term Orientation"": 45, ""Formality Avoidance"": -50, ""Emotional Authenticity"": 6, ""Tradition Adherence"": 35, ""Efficiency"": 48, ""Privacy"": -66, ""Financial Prudence"": 48, ""Decisiveness"": 100, ""Creativity"": 21, ""Structure Preference"": 75, ""Empathy"": 1, ""Duty Orientation"": 50, ""Stability"": 41, ""Experience Orientation"": 0}"
1,9,dd_16600_not_to_do,dd_20839_to_do,A,"Marcus would likely choose Option A, believing that public funds should be used in accordance with traditional values and societal order. While he may acknowledge the negative consequences, he would prioritize upholding taxpayer rights and moral boundaries over supporting procedures he might view as ethically or medically questionable.","{""Moral Integrity"": 52, ""Conflict Avoidance"": -2, ""Emotional Well-Being"": 0, ""Risk Aversion"": 12, ""Autonomy"": -37, ""Social Harmony"": 36, ""Long-Term Orientation"": 53, ""Formality Avoidance"": -100, ""Emotional Authenticity"": -37, ""Tradition Adherence"": 51, ""Efficiency"": 43, ""Privacy"": -5, ""Financial Prudence"": 65, ""Decisiveness"": 30, ""Creativity"": 0, ""Structure Preference"": 37, ""Empathy"": 3, ""Duty Orientation"": 39, ""Stability"": 10, ""Experience Orientation"": -6}","{""Moral Integrity"": 70, ""Conflict Avoidance"": -2, ""Emotional Well-Being"": 0, ""Risk Aversion"": 12, ""Autonomy"": -37, ""Social Harmony"": 36, ""Long-Term Orientation"": 53, ""Formality Avoidance"": -100, ""Emotional Authenticity"": -37, ""Tradition Adherence"": 65, ""Efficiency"": 43, ""Privacy"": -5, ""Financial Prudence"": 65, ""Decisiveness"": 30, ""Creativity"": 0, ""Structure Preference"": 37, ""Empathy"": 3, ""Duty Orientation"": 55, ""Stability"": 10, ""Experience Orientation"": -6}"
1,10,dd_48587_not_to_do,dd_20839_to_do,A,"Marcus would likely choose not to forgive the friend, as he values personal responsibility and the importance of standing by one's principles. He believes that forgiving without accountability may encourage repeated disrespect, which undermines the very foundation of respect and honor in relationships.","{""Moral Integrity"": 61, ""Conflict Avoidance"": 3, ""Emotional Well-Being"": 39, ""Risk Aversion"": 5, ""Autonomy"": -3, ""Social Harmony"": 50, ""Long-Term Orientation"": 20, ""Formality Avoidance"": 7, ""Emotional Authenticity"": 10, ""Tradition Adherence"": -31, ""Efficiency"": 53, ""Privacy"": 100, ""Financial Prudence"": 37, ""Decisiveness"": -29, ""Creativity"": -28, ""Structure Preference"": -40, ""Empathy"": 49, ""Duty Orientation"": 12, ""Stability"": 41, ""Experience Orientation"": -6}","{""Moral Integrity"": 80, ""Conflict Avoidance"": 3, ""Emotional Well-Being"": 30, ""Risk Aversion"": 5, ""Autonomy"": -3, ""Social Harmony"": 60, ""Long-Term Orientation"": 20, ""Formality Avoidance"": 7, ""Emotional Authenticity"": 10, ""Tradition Adherence"": -45, ""Efficiency"": 60, ""Privacy"": 100, ""Financial Prudence"": 37, ""Decisiveness"": -29, ""Creativity"": -28, ""Structure Preference"": -40, ""Empathy"": 49, ""Duty Orientation"": 12, ""Stability"": 41, ""Experience Orientation"": -6}"
