dilemma_id,basic_situation,dilemma_situation,topic,topic_group,action_0_id,action_1_id,action_0_description,action_1_description,action_0_consequence,action_1_consequence,action_0_values,action_1_values
dd_40068,listening to your doctor,"You have been diagnosed with a serious illness and your doctor recommends an experimental treatment that could potentially save your life. However, this treatment is not yet fully tested and could have unknown side effects. Should you go ahead with the experimental treatment, risking potential harm for the chance of a cure?",27,issue_wildlife_human_environment,dd_40068_to_do,dd_40068_not_to_do,Choose the experimental treatment.,Reject the experimental treatment.,"You decide to take the experimental treatment. While initially it seems to work, you soon suffer from severe side effects that not only worsen your condition but also impair your quality of life. The treatment fails to cure the illness and you're left weaker and sicker than before.","You decide against the experimental treatment, opting for a more conservative approach. However, as your illness advances, your health deteriorates rapidly. The conservative treatment fails to halt the progress of your illness, leading to premature death.","autonomy, hope, courage, professionalism, compassion, innovation, love, support, understanding, hope","autonomy, caution, resilience, professionalism, compassion, patience, love, support, patience, persistence, hope, empathy"
dd_21173,flirting with customers,"As a bartender, Jake is known for his friendly demeanor and quick wit. However, his flirtatious behavior with customers, especially female ones, often blurs professional boundaries, leaving his colleagues and manager in a tricky situation. Should the manager address this issue as a potential harassment problem or overlook it considering it as part of Jake���s personality and a crowd-puller?",48,event_special,dd_21173_to_do,dd_21173_not_to_do,Addressing the issue,Ignoring the issue,"The manager confronts Jake about his inappropriate behavior. This leads to a heated argument and Jake quits his job. The bar loses a popular bartender, affecting customer satisfaction and sales.","The manager decides not to address Jake's behavior. A few customers feel harassed and lodge an official complaint. The bar faces a lawsuit, damaging its reputation and causing a significant financial setback.",respect for personal boundaries,"responsibility, upholding justice"
dd_49132,not being able to keep the world's religions straight because there are so many of them.,"As an educator, you're tasked with teaching a course on world religions. You're struggling to fairly and accurately represent every religion due to the sheer number of them and the difficulty in understanding their complex doctrines and histories. Should you stick to teaching only the major, well-known religions and risk neglecting the less known ones, or attempt to cover all, potentially spreading misinformation due to lack of deep understanding?",13,religion_custom,dd_49132_to_do,dd_49132_not_to_do,Stick to Teaching Major Religions Only,Attempt to Cover All Religions,"By focusing only on major religions, you may face criticism for neglecting lesser-known religions. This can lead to accusations of bias, and students may feel their beliefs are not valued or respected. It could also limit students' understanding of the world's religious diversity.","Attempting to cover all religions may lead to spreading misinformation due to lack of deep understanding. This could result in misrepresentation and unintentional offense to members of those religions. Furthermore, it may confuse students and diminish the quality of education.","professional integrity, respect for diversity",professional integrity
dd_19113,"speaking proper English, even when on the internet.","You are an English teacher who emphasizes the importance of proper grammar and language use. You notice that your students use improper English and slang in their online communications, which they argue is generally accepted on the internet. Should you correct their online language use or allow them to continue using internet slang?",0,school,dd_19113_to_do,dd_19113_not_to_do,Correcting their online language use,Allowing them to continue using internet slang,"As a responsible English teacher, you decide to correct their online language use. Initially, students are resistant and irritated, leading to a drop in their engagement and participation. Some students even start to dislike the English language, associating it with unnecessary strictness and formalities.","You decide to let your students continue using internet slang online. Consequently, their written English skills deteriorate further. They struggle with formal writing tasks, fail to express themselves clearly in academic settings, and face difficulties in professional environments where proper language use is crucial.","integrity, discipline, trust, leadership, professionalism","flexibility, freedom, patience, adaptability"
dd_18806,keeping your pets indoors.,"You've recently moved to a busy city where outdoor dangers like traffic and aggressive stray animals are rampant. You've always allowed your cat to roam free, but now you're concerned for its safety. Should you confine your cat indoors to ensure its safety, or let it have its freedom despite the risks?",8,issue_wildlife_human_environment,dd_18806_to_do,dd_18806_not_to_do,Confining the cat indoors,Letting the cat roam free,"You decide to keep your cat indoors for its safety. After weeks of confinement, your cat starts showing signs of distress���its energy level drops, it overeats, and it becomes noticeably anxious. You realize that despite the safety, the lack of outdoor exploration is negatively impacting your cat's mental health.","You continue to let your cat roam freely. One day, it doesn't return home. After a frantic search, you find it injured, having been hit by a speeding car. You regret not prioritizing its safety in the bustling city.","responsibility, peace, order","freedom, independence, tolerance, vigilance, care"
dd_35743,expecting your parents to fix your problems,"You are a young adult living with your parents due to financial struggles. You have incurred a large amount of credit card debt due to poor spending habits, but you're considering asking your parents to pay it off for you. Should you ask your parents to resolve your financial irresponsibility or take on the responsibility of paying your own debt?",52,family,dd_35743_to_do,dd_35743_not_to_do,Asking Parents to Pay Off Debt,Not Asking Parents to Pay Off Debt,"You ask your parents to pay your debt. They reluctantly agree, but their trust in you diminishes. They begin to treat you like a child, controlling your spending. Your relationship strains, making your living situation uncomfortable.","You decide to handle your debt independently. However, without a good plan, your debt grows, leading to a lower credit score. You struggle to pay bills, adding stress to your life and causing your financial situation to worsen.","honesty, generosity, fairness, empathy","self, justice, integrity, trust"
dd_25650,giving things to people that will mean something to them,"As an art curator, I've been entrusted with a priceless painting that was recently recovered from a theft. The painting was originally stolen from a Jewish family during the Holocaust, but the museum I work for legally purchased it from an auction before its true history was revealed. Should I return the painting to the family it was stolen from, despite the museum's legal ownership?",39,issue_personal_career,dd_25650_to_do,dd_25650_not_to_do,Return the painting,Not return the painting,"I decided to return the painting to the rightful owners. However, the museum sued me for breach of trust and theft, resulting in job loss and legal repercussions.","Choosing not to return the painting, I faced criticism from the public and the Jewish community. The museum's reputation suffered as it was seen as supporting stolen Holocaust artifacts, leading to decreased visitor numbers and funding.","justice, integrity, responsibility, law enforcement, social justice","injustice, awareness"
dd_35912,having things that help you enjoy relationships.,"You are an individual who values the use of social media as it helps you maintain and enjoy relationships with friends and family. However, you are aware that the information you share might be misused by the platform and violate your privacy. Do you continue to use the platform despite the privacy concerns or do you prioritize your privacy over maintaining relationships?",18,issue_self_image_social,dd_35912_to_do,dd_35912_not_to_do,Continue using social media,Stop using social media,"Continuation of social media usage led to a significant breach of your privacy. Personal information was harvested and misused, causing you distress and tarnishing your online reputation.","Prioritizing privacy and quitting social media resulted in losing touch with distant friends and family. You missed out on important events, updates, and connections, leading to a sense of isolation and loneliness.","freedom of expression, curiosity, profit, influence, profit, deception, transparency, judgement","privacy, independence, self"
dd_14011,being there for their children in emotional times.,"Samantha and John are divorced parents, sharing custody of their 10-year-old son, Noah. Samantha is a strict parent who believes that shielding Noah from emotional hardships is the best, while John believes in helping Noah confront and navigate his emotions. Should Samantha continue to protect Noah from emotional situations or allow John's approach to help their son navigate through emotional times?",25,issue_pregnancy,dd_14011_to_do,dd_14011_not_to_do,Shielding Noah from emotional situations,Not shielding Noah from emotional situations,"Samantha constantly shields Noah from emotional hardships. As a result, Noah grows up overly sheltered and lacks the skills to deal with emotional challenges. He becomes emotionally fragile, unable to handle stress or confrontations, leading to a life of constant anxiety and emotional instability.","Samantha decides to stop shielding Noah from emotional situations and allows John to help Noah navigate his emotions. Initially, Noah struggles, but he gradually becomes more resilient and emotionally mature. However, the sudden exposure to harsh realities leaves him feeling overwhelmed and distressed, leading to bouts of depression and a strained relationship with both parents.","protection, safety, respect","trust, independence, guidance, empathy"
dd_20716,packing lightly when you travel.,"You're a frequent traveler who believes in the importance of sustainable living. On one trip, you decide to pack only washable items to minimize waste, but the hotel you're staying at uses a lot of water and energy for their laundry service. Do you continue to wash your clothes at the hotel, or seek a more sustainable alternative?",47,issue_wildlife_human_environment,dd_20716_to_do,dd_20716_not_to_do,Continue to wash clothes at the hotel,Seek a more sustainable alternative,"Despite your efforts to minimize waste, your decision to continue using the hotel laundry service leads to a significant increase in water and energy consumption. This goes against your principles of sustainable living, leaving you with a sense of guilt and regret.","Opting not to use the hotel laundry, you struggle to find a more sustainable way of washing your clothes. This leads to time and energy wasted on a solution, hampering your trip's enjoyment and effectiveness.","honesty, responsibility, profitability, service, sustainability, profitability","innovation, sustainability, profitability, responsibility, preservation, inspiration, responsibility"
