dimension_id,dimension_name,option_id,display_text,bt_score
1,Moral Integrity,dd_176_to_do,Recommend controversial books,0.443279
1,Moral Integrity,dd_176_not_to_do,Do not recommend controversial books,-0.097519
1,Moral Integrity,dd_893_to_do,Fulfill the order,-0.300639
1,Moral Integrity,dd_893_not_to_do,Refuse the order,0.640059
1,Moral Integrity,dd_1029_to_do,Follow classmates' advice,-0.362378
1,Moral Integrity,dd_1029_not_to_do,Not follow classmates' advice,0.214851
1,Moral Integrity,dd_1176_to_do,Continue watching the show,-0.240918
1,Moral Integrity,dd_1176_not_to_do,Stop watching the show,0.613335
1,Moral Integrity,dd_1205_to_do,Renewing Vows,-0.71118
1,Moral Integrity,dd_1205_not_to_do,Not Renewing Vows,0.480177
1,Moral Integrity,dd_1352_to_do,Pursue a relationship,-0.409305
1,Moral Integrity,dd_1352_not_to_do,Not pursue a relationship,0.658096
1,Moral Integrity,dd_1552_to_do,Informing the organizers,0.651329
1,Moral Integrity,dd_1552_not_to_do,Not informing the organizers,-0.34837
1,Moral Integrity,dd_1656_to_do,Use the case as inspiration,-0.816486
1,Moral Integrity,dd_1656_not_to_do,Respect their wishes and find a new plot,0.640926
1,Moral Integrity,dd_2155_to_do,Invade privacy,-0.429674
1,Moral Integrity,dd_2155_not_to_do,Respect privacy,0.495775
1,Moral Integrity,dd_2599_to_do,Exterminate the insects,-0.388799
1,Moral Integrity,dd_2599_not_to_do,Not exterminate the insects,0.42873
1,Moral Integrity,dd_2932_to_do,Keep the wallet,-0.333932
1,Moral Integrity,dd_2932_not_to_do,Return the wallet,-0.431135
1,Moral Integrity,dd_3363_to_do,Explain the reason for sneaking in snacks,0.256291
1,Moral Integrity,dd_3363_not_to_do,Not explain and let them believe it's normal,-0.100269
1,Moral Integrity,dd_3971_to_do,Rely solely on skills,-0.308923
1,Moral Integrity,dd_3971_not_to_do,Not bring survival gear,-0.301608
1,Moral Integrity,dd_3979_to_do,Investigating the noise,-0.11309
1,Moral Integrity,dd_3979_not_to_do,Ignoring the noise,-0.107948
1,Moral Integrity,dd_4716_to_do,Request a different judge,0.713092
1,Moral Integrity,dd_4716_not_to_do,Continue with the current judge,-0.498406
1,Moral Integrity,dd_4797_to_do,Confessing feelings to spouse,0.65972
1,Moral Integrity,dd_4797_not_to_do,Suppressing emotions to maintain family's stability,-0.175879
1,Moral Integrity,dd_4871_to_do,Confront,0.092008
1,Moral Integrity,dd_4871_not_to_do,Ignore,-0.121667
1,Moral Integrity,dd_5957_to_do,Inflate the Student's Score,-0.520158
1,Moral Integrity,dd_5957_not_to_do,Uphold the Integrity of Grading,0.557233
1,Moral Integrity,dd_6519_to_do,Confront the thief,0.195944
1,Moral Integrity,dd_6519_not_to_do,Ignore the thief,-0.355289
1,Moral Integrity,dd_7001_to_do,Seeking validation from others,-0.355309
1,Moral Integrity,dd_7001_not_to_do,Not building self-worth independently,-0.265122
