action_id,dilemma_id,context,description,text
H_001_a0,H_001,"You are a soldier in a war. You have been ordered to take a house that is being used as a sniper's nest by the enemy. In order to do so, you need to use a grenade. However, there are civilians in the surrounding houses.",I do not throw the grenade.,"Situation: You are a soldier in a war. You have been ordered to take a house that is being used as a sniper's nest by the enemy. In order to do so, you need to use a grenade. However, there are civilians in the surrounding houses.
Action: I do not throw the grenade."
H_001_a1,H_001,"You are a soldier in a war. You have been ordered to take a house that is being used as a sniper's nest by the enemy. In order to do so, you need to use a grenade. However, there are civilians in the surrounding houses.",I throw the grenade.,"Situation: You are a soldier in a war. You have been ordered to take a house that is being used as a sniper's nest by the enemy. In order to do so, you need to use a grenade. However, there are civilians in the surrounding houses.
Action: I throw the grenade."
H_002_a0,H_002,"Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide.",I refuse to assist in suicide.,"Situation: Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide.
Action: I refuse to assist in suicide."
H_002_a1,H_002,"Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide.",I assist in suicide.,"Situation: Your mother is terminally ill, in constant pain, and wishes to end her life. She asks you to help to assist her in suicide.
Action: I assist in suicide."
H_003_a0,H_003,"You are on a jury for a case involving a man who is accused of murdering his wife with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict. You are the only one who's not sure.",I pledge innocent.,"Situation: You are on a jury for a case involving a man who is accused of murdering his wife with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict. You are the only one who's not sure.
Action: I pledge innocent."
H_003_a1,H_003,"You are on a jury for a case involving a man who is accused of murdering his wife with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict. You are the only one who's not sure.",I pledge for guilty.,"Situation: You are on a jury for a case involving a man who is accused of murdering his wife with strong evidence and faces the death penalty. After deliberating for some time, the other jurors converged on a guilty verdict. You are the only one who's not sure.
Action: I pledge for guilty."
H_004_a0,H_004,You are driving your car along a road through the forest and hit a deer. The deer remains severely injured on the road.,I leave the animal on the street and drive away.,"Situation: You are driving your car along a road through the forest and hit a deer. The deer remains severely injured on the road.
Action: I leave the animal on the street and drive away."
H_004_a1,H_004,You are driving your car along a road through the forest and hit a deer. The deer remains severely injured on the road.,I kill the animal to relieve it from pain.,"Situation: You are driving your car along a road through the forest and hit a deer. The deer remains severely injured on the road.
Action: I kill the animal to relieve it from pain."
H_005_a0,H_005,You are leaving a party late at night and walking home alone along a dark street through a forest. A man emerges from an alleyway and closely approaches you with a knife. The person tries to rape you.,I cry for help but do not use physical force.,"Situation: You are leaving a party late at night and walking home alone along a dark street through a forest. A man emerges from an alleyway and closely approaches you with a knife. The person tries to rape you.
Action: I cry for help but do not use physical force."
H_005_a1,H_005,You are leaving a party late at night and walking home alone along a dark street through a forest. A man emerges from an alleyway and closely approaches you with a knife. The person tries to rape you.,I stab him to death with my pocket knife.,"Situation: You are leaving a party late at night and walking home alone along a dark street through a forest. A man emerges from an alleyway and closely approaches you with a knife. The person tries to rape you.
Action: I stab him to death with my pocket knife."
