dimension_id,dimension_name,option_a_id,option_a_display,option_b_id,option_b_display,choice,confidence,reasoning,high_pole_description_a,high_pole_description_b,swap_consistent
1,Action Intensity,1,Toy Story (1995),23,Assassins (1995),B,clear,"Toy Story (1995) features some adventurous moments but primarily focuses on character development and dialogue, making it lean towards the lower end of action intensity. On the other hand, 'Assassins' is an action-packed thriller with numerous intense action scenes and stunts, placing it closer to the higher end of action intensity.",low action intensity,high action intensity,True
1,Action Intensity,10,GoldenEye (1995),33,Wings of Courage (1995),A,clear,"Option A, 'GoldenEye', features numerous intense action sequences, chases, and a climactic showdown, placing it firmly towards the high pole of action intensity. In contrast, Option B, 'Wings of Courage', focuses more on the biographical and romantic aspects of early aviators, with minimal action sequences.",high action intensity,low action intensity,True
1,Action Intensity,11,"American President, The (1995)",36,Dead Man Walking (1995),negligible,marginal,"Both 'The American President' and 'Dead Man Walking' are primarily focused on character development and dialogue, with very little emphasis on action sequences. Neither movie features significant action scenes that would move them towards the high pole.",very low action,very low action,True
1,Action Intensity,12,Dracula: Dead and Loving It (1995),20,Money Train (1995),B,clear,"Option A, 'Dracula: Dead and Loving It', primarily focuses on comedy and parody, featuring minimal action sequences. Option B, 'Money Train', includes more frequent and intense action scenes, including a heist and confrontations, placing it higher on the action intensity scale.",low action intensity,moderate action intensity,True
1,Action Intensity,13,Balto (1995),27,Now and Then (1995),A,marginal,"Balto (1995) includes some adventurous elements and challenges that Balto faces, but these are not intense action scenes. Now and Then (1995) focuses more on drama and reminiscence, lacking any significant action sequences. Both movies have very little action, but Balto has slightly more adventurous moments.",slightly above average in action intensity,very low in action intensity,True
1,Action Intensity,14,Nixon (1995),17,Sense and Sensibility (1995),negligible,marginal,"Both 'Nixon' and 'Sense and Sensibility' are primarily focused on character development and dialogue, with very little emphasis on action sequences. However, 'Nixon' might have slightly more intense moments due to its political context, but these are still far from high-action scenes.",very low action,very low action,True
1,Action Intensity,15,Cutthroat Island (1995),22,Copycat (1995),A,clear,"Option A, 'Cutthroat Island', features numerous action sequences involving sea battles and chases, placing it higher on the action intensity scale. Option B, 'Copycat', focuses more on psychological tension and suspense rather than physical action, positioning it lower on the action intensity scale.",Moderate to high action intensity,Low action intensity,True
1,Action Intensity,16,Casino (1995),29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",A,marginal,"Option A, 'Casino', contains some action but primarily focuses on character dynamics and crime drama, featuring fewer intense action sequences. Option B, 'The City of Lost Children', includes some physical action and chases but leans more towards a visually rich, fantastical narrative with less emphasis on high-intensity action scenes.",moderately low action,low action,True
1,Action Intensity,18,Four Rooms (1995),39,Clueless (1995),A,marginal,"Four Rooms (1995) contains some action elements but primarily focuses on quirky narratives and dark humor, while Clueless (1995) is a dialogue-driven comedy with virtually no action scenes. Both movies lean towards the low-action end, but Four Rooms has a slight edge in action intensity.",minimal action,no action,True
1,Action Intensity,19,Ace Ventura: When Nature Calls (1995),5,Father of the Bride Part II (1995),A,marginal,"Option A, 'Ace Ventura: When Nature Calls', includes some physical comedy and adventurous scenarios but remains primarily focused on humor rather than action. Option B, 'Father of the Bride Part II', is centered around family drama and comedic situations without any significant action sequences. Both movies lean towards the low end of the action spectrum, but 'Ace Ventura' has slightly more physical activity.",slightly above low-action,low-action,True
1,Action Intensity,2,Jumanji (1995),42,Dead Presidents (1995),B,clear,"Option A, 'Jumanji', includes several action sequences but focuses more on adventure and fantasy elements. Option B, 'Dead Presidents', features more intense and frequent action scenes related to its crime and drama genres. The action in 'Dead Presidents' is more central to the plot and more intense.",moderately high action,high action,True
1,Action Intensity,21,Get Shorty (1995),31,Dangerous Minds (1995),A,marginal,"Option A, 'Get Shorty', includes some action sequences but is primarily focused on its comedic and thriller elements, involving less intense action than a typical high-action film. Option B, 'Dangerous Minds', is a drama with minimal action, focusing more on character development and social issues.",moderately low action,very low action,True
1,Action Intensity,24,Powder (1995),41,Richard III (1995),B,marginal,"Option A, 'Powder', focuses more on the emotional and psychological journey of the protagonist with minimal action sequences. Option B, 'Richard III', includes some violent and confrontational scenes but still leans towards drama and dialogue over intense action. Both movies have low action intensity, but 'Richard III' has slightly more intense moments.",very low action,slightly higher action,True
1,Action Intensity,25,Leaving Las Vegas (1995),7,Sabrina (1995),negligible,marginal,"Both 'Leaving Las Vegas' and 'Sabrina' are primarily focused on character development and dialogue, with minimal action sequences. However, 'Leaving Las Vegas' may have slightly more intense moments due to its themes of alcoholism and despair, but these do not constitute high-action scenes.",very low action,very low action,True
1,Action Intensity,26,Othello (1995),28,Persuasion (1995),negligible,marginal,"Both 'Othello' and 'Persuasion' are primarily focused on character development and dialogue, with minimal action sequences. However, 'Othello' may have slightly more intense moments due to its themes of betrayal and tragedy, but these do not significantly elevate its action content.",very low action,very low action,True
1,Action Intensity,3,Grumpier Old Men (1995),49,When Night Is Falling (1995),negligible,marginal,"Both 'Grumpier Old Men' and 'When Night Is Falling' are primarily focused on character development and dialogue, with very little emphasis on action scenes. Neither movie features significant action sequences that would move them towards the high pole.",very low action,very low action,False
1,Action Intensity,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),8,Tom and Huck (1995),A,marginal,"Option A, 'Shanghai Triad', contains some action elements but focuses more on character development and the intricate dynamics within the triad. Option B, 'Tom and Huck', includes adventurous elements typical of children's adventure films but lacks intense action scenes. Both movies lean towards the lower end of the action spectrum, but 'Shanghai Triad' has slightly more action.",moderately low action,very low action,True
1,Action Intensity,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),44,Mortal Kombat (1995),B,clear,"Option A, 'Twelve Monkeys', contains some action but is primarily focused on its complex narrative and character development. In contrast, Option B, 'Mortal Kombat', is characterized by frequent and intense action sequences, consistent with its genre and source material.",moderate action,high action,True
1,Action Intensity,34,Babe (1995),45,To Die For (1995),B,marginal,"Option A, 'Babe', is a children's drama with minimal action, focusing instead on character development and emotional storytelling. Option B, 'To Die For', while containing some tense moments due to its thriller elements, still lacks significant action sequences compared to high-action films. Both movies are closer to the low pole, but 'To Die For' might have slightly more intense moments.",very low action,slightly more intense moments,True
1,Action Intensity,35,Carrington (1995),48,Pocahontas (1995),B,marginal,"Both 'Carrington' and 'Pocahontas' have minimal action sequences, focusing more on character development and storytelling through dialogue and music rather than intense action scenes. However, 'Pocahontas', being an animated film, might include slightly more dynamic visual elements and movement compared to the more static and dialogue-heavy 'Carrington'.",very low action,slightly more dynamic but still low action,True
1,Action Intensity,37,Across the Sea of Time (1995),43,Restoration (1995),negligible,marginal,"Option A, 'Across the Sea of Time', is a documentary with IMAX visuals, focusing on the journey and experiences of an immigrant, which suggests minimal action intensity. Option B, 'Restoration', while set in a historical context with potential for some action, primarily focuses on drama and interpersonal relationships, indicating low action intensity as well.",very low action intensity,low action intensity,False
1,Action Intensity,38,It Takes Two (1995),9,Sudden Death (1995),B,clear,"Option A, 'It Takes Two', is a family comedy with minimal action, focusing instead on character interactions and plot twists. Option B, 'Sudden Death', is an action movie centered around intense sequences, stunts, and a high-stakes scenario.",near the low pole,near the high pole,True
