persona_id,option_a_id,option_b_id,choice_1,choice_2,consistent
1,dd_45544_to_do,dd_20839_to_do,B,A,0
1,dd_16891_to_do,dd_42690_not_to_do,A,A,1
1,dd_43811_to_do,dd_3363_not_to_do,B,A,0
1,dd_1029_not_to_do,dd_2932_to_do,A,A,1
1,dd_43285_to_do,dd_31665_to_do,B,B,1
1,dd_42860_not_to_do,dd_33765_not_to_do,A,A,1
1,dd_42690_not_to_do,dd_1176_to_do,A,A,1
1,dd_37102_to_do,dd_14011_to_do,B,B,1
1,dd_29903_to_do,dd_19267_to_do,B,B,1
1,dd_38721_to_do,dd_1352_not_to_do,B,B,1
3,dd_45544_to_do,dd_20839_to_do,A,A,1
3,dd_16891_to_do,dd_42690_not_to_do,A,B,0
3,dd_43811_to_do,dd_3363_not_to_do,B,B,1
3,dd_1029_not_to_do,dd_2932_to_do,A,A,1
3,dd_43285_to_do,dd_31665_to_do,B,B,1
3,dd_42860_not_to_do,dd_33765_not_to_do,A,A,1
3,dd_42690_not_to_do,dd_1176_to_do,A,A,1
3,dd_37102_to_do,dd_14011_to_do,B,B,1
3,dd_29903_to_do,dd_19267_to_do,B,B,1
3,dd_38721_to_do,dd_1352_not_to_do,A,A,1
0,dd_45544_to_do,dd_20839_to_do,A,A,1
0,dd_16891_to_do,dd_42690_not_to_do,A,A,1
0,dd_43811_to_do,dd_3363_not_to_do,B,B,1
0,dd_1029_not_to_do,dd_2932_to_do,B,B,1
0,dd_43285_to_do,dd_31665_to_do,B,B,1
0,dd_42860_not_to_do,dd_33765_not_to_do,B,B,1
0,dd_42690_not_to_do,dd_1176_to_do,A,A,1
0,dd_37102_to_do,dd_14011_to_do,B,B,1
0,dd_29903_to_do,dd_19267_to_do,B,B,1
0,dd_38721_to_do,dd_1352_not_to_do,B,B,1
2,dd_45544_to_do,dd_20839_to_do,A,A,1
2,dd_16891_to_do,dd_42690_not_to_do,A,A,1
2,dd_43811_to_do,dd_3363_not_to_do,B,A,0
2,dd_1029_not_to_do,dd_2932_to_do,A,B,0
2,dd_43285_to_do,dd_31665_to_do,B,B,1
2,dd_42860_not_to_do,dd_33765_not_to_do,B,A,0
2,dd_42690_not_to_do,dd_1176_to_do,A,A,1
2,dd_37102_to_do,dd_14011_to_do,B,B,1
2,dd_29903_to_do,dd_19267_to_do,A,A,1
2,dd_38721_to_do,dd_1352_not_to_do,A,A,1
4,dd_45544_to_do,dd_20839_to_do,B,B,1
4,dd_16891_to_do,dd_42690_not_to_do,A,A,1
4,dd_43811_to_do,dd_3363_not_to_do,B,B,1
4,dd_1029_not_to_do,dd_2932_to_do,B,B,1
4,dd_43285_to_do,dd_31665_to_do,B,B,1
4,dd_42860_not_to_do,dd_33765_not_to_do,B,A,0
4,dd_42690_not_to_do,dd_1176_to_do,A,A,1
4,dd_37102_to_do,dd_14011_to_do,B,B,1
4,dd_29903_to_do,dd_19267_to_do,A,A,1
4,dd_38721_to_do,dd_1352_not_to_do,B,B,1
6,dd_45544_to_do,dd_20839_to_do,B,B,1
6,dd_16891_to_do,dd_42690_not_to_do,A,B,0
6,dd_43811_to_do,dd_3363_not_to_do,B,B,1
6,dd_1029_not_to_do,dd_2932_to_do,A,A,1
6,dd_43285_to_do,dd_31665_to_do,B,B,1
6,dd_42860_not_to_do,dd_33765_not_to_do,A,B,0
6,dd_42690_not_to_do,dd_1176_to_do,B,B,1
6,dd_37102_to_do,dd_14011_to_do,A,B,0
6,dd_29903_to_do,dd_19267_to_do,B,A,0
6,dd_38721_to_do,dd_1352_not_to_do,A,A,1
7,dd_45544_to_do,dd_20839_to_do,A,A,1
7,dd_16891_to_do,dd_42690_not_to_do,B,A,0
7,dd_43811_to_do,dd_3363_not_to_do,B,B,1
7,dd_1029_not_to_do,dd_2932_to_do,A,A,1
7,dd_43285_to_do,dd_31665_to_do,B,B,1
7,dd_42860_not_to_do,dd_33765_not_to_do,A,A,1
7,dd_42690_not_to_do,dd_1176_to_do,B,A,0
7,dd_37102_to_do,dd_14011_to_do,B,B,1
7,dd_29903_to_do,dd_19267_to_do,B,B,1
7,dd_38721_to_do,dd_1352_not_to_do,B,B,1
5,dd_45544_to_do,dd_20839_to_do,B,A,0
5,dd_16891_to_do,dd_42690_not_to_do,A,A,1
5,dd_43811_to_do,dd_3363_not_to_do,B,B,1
5,dd_1029_not_to_do,dd_2932_to_do,A,A,1
5,dd_43285_to_do,dd_31665_to_do,B,B,1
5,dd_42860_not_to_do,dd_33765_not_to_do,A,B,0
5,dd_42690_not_to_do,dd_1176_to_do,A,B,0
5,dd_37102_to_do,dd_14011_to_do,B,B,1
5,dd_29903_to_do,dd_19267_to_do,B,B,1
5,dd_38721_to_do,dd_1352_not_to_do,B,B,1
8,dd_45544_to_do,dd_20839_to_do,B,B,1
8,dd_16891_to_do,dd_42690_not_to_do,A,A,1
8,dd_43811_to_do,dd_3363_not_to_do,A,B,0
8,dd_1029_not_to_do,dd_2932_to_do,B,B,1
8,dd_43285_to_do,dd_31665_to_do,B,B,1
8,dd_42860_not_to_do,dd_33765_not_to_do,A,B,0
