dimension_id,dimension_name,option_id,display_text,score,zero_reason,justification
1,Tannin Level,0,Nicosia 2013 Vulkà Bianco  (Etna),0,not_applicable,The wine is a white blend and the dimension of tannin level applies to red wines.
1,Tannin Level,1,Quinta dos Avidagos 2011 Avidagos Red (Douro),0.5,null,The wine has firm tannins which indicate a presence of tannins but they are not described as strong or robust enough to be scored as 1.
1,Tannin Level,2,Rainstorm 2013 Pinot Gris (Willamette Valley),-0.5,not_applicable,"The wine is a Pinot Gris, which is typically not known for its tannins, making tannin level not applicable in this case."
1,Tannin Level,3,St. Julian 2013 Reserve Late Harvest Riesling (Lake Michigan Shore),0,not_applicable,"Tannins are not applicable to a Riesling wine, which is a grape variety known for its aromatic and sweet characteristics rather than tannic structure."
1,Tannin Level,4,Sweet Cheeks 2012 Vintner's Reserve Wild Child Block Pinot Noir (Willamette Valley),-0.5,null,"The wine is described as 'rather rough and tannic' but not strongly so, aligning with a moderate presence of tannins."
1,Tannin Level,5,Tandem 2011 Ars In Vitro Tempranillo-Merlot (Navarra),0.5,null,"The wine is described as 'fairly full bodied' with 'strong, robust tannins', indicating a moderate presence of tannins that lean towards the high pole."
1,Tannin Level,6,Terre di Giurfo 2013 Belsito Frappato (Vittoria),0.5,null,"The tasting note describes 'soft tannins', which indicate a moderate presence of tannins without being overpowering."
1,Tannin Level,7,Trimbach 2012 Gewurztraminer (Alsace),0,not_applicable,"Tannins are not applicable to a Gewürztraminer wine, which is a light and aromatic white variety."
1,Tannin Level,8,Heinz Eifel 2013 Shine Gewürztraminer (Rheinhessen),0,not_applicable,"Tannins are not applicable to a Gewürztraminer wine, which is a light and aromatic white variety."
1,Tannin Level,9,Jean-Baptiste Adam 2012 Les Natures Pinot Gris (Alsace),0,not_applicable,"Tannin level is not applicable to a Pinot Gris wine, which is a white variety."
1,Tannin Level,10,Kirkland Signature 2011 Mountain Cuvée Cabernet Sauvignon (Napa Valley),0.5,null,"The wine has a noticeable tannin presence but is described as soft and supple, indicating it is not at the full, robust end of the spectrum."
1,Tannin Level,11,Leon Beyer 2012 Gewurztraminer (Alsace),0,not_applicable,"Gewürztraminer is typically a light and aromatic variety, not known for strong tannins, making tannin level not applicable for this wine."
1,Tannin Level,12,Louis M. Martini 2012 Cabernet Sauvignon (Alexander Valley),0.5,null,"The wine has a chalky, tannic backbone, indicating strong tannins, but it is described as 'slightly reduced' and not overwhelmingly so, suggesting it is moderately at the high pole."
1,Tannin Level,13,Masseria Setteporte 2012 Rosso  (Etna),0.5,null,"The wine has astringent, drying tannins which indicate a presence of tannins but not overwhelmingly so, suggesting a moderate level."
1,Tannin Level,14,Mirassou 2012 Chardonnay (Central Coast),0,not_applicable,"Chardonnay grapes typically do not exhibit significant tannins, making this dimension not applicable for this wine."
1,Tannin Level,15,Richard Böcking 2013 Devon Riesling (Mosel),0,not_applicable,Tannins are not applicable to a Riesling wine variety.
1,Tannin Level,16,Felix Lavaque 2010 Felix Malbec (Cafayate),0.5,null,The wine has some tannins that contribute to its structure but they are not described as strong or robust.
1,Tannin Level,17,Gaucho Andino 2011 Winemaker Selection Malbec (Mendoza),0.5,null,"The wine has some tannins that contribute to its structure, but they are not described as strong or robust."
1,Tannin Level,18,Pradorey 2010 Vendimia Seleccionada Finca Valdelayegua Single Vineyard Crianza  (Ribera del Duero),1,null,"The tasting note describes the wine as 'full-bodied, tannic, heavily oaked' and mentions 'forceful oak-based aromas' dominating the finish, indicating strong tannins."
1,Tannin Level,19,Quiévremont 2012 Meritage (Virginia),0.5,null,The wine has some tannins that contribute to its structure but are not described as strong or robust.
1,Tannin Level,20,Quiévremont 2012 Vin de Maison Red (Virginia),0.5,null,"The wine has noticeable tannins from the oak influence, but they are not described as strong or robust."
1,Tannin Level,21,Acrobat 2013 Pinot Noir (Oregon),-0.5,not_applicable,"The wine is described as a Pinot Noir, which typically has light to medium tannins, placing it closer to the low pole."
1,Tannin Level,22,Baglio di Pianetto 2007 Ficiligno White (Sicilia),0,not_applicable,"The wine is a white blend and the provided tasting notes do not mention any tannins, making the tannin level dimension not applicable."
1,Tannin Level,23,Bianchi 2011 Signature Selection Merlot (Paso Robles),0.5,null,"The wine has moderate tannins that are noticeable but not overwhelming, aligning with a moderate score."
1,Tannin Level,24,Canicattì 2009 Aynat Nero d'Avola (Sicilia),0.5,null,"The tasting note describes 'firm but drying tannins,' which indicates a presence of strong tannins without being overwhelmingly so, placing it moderately at the high pole."
1,Tannin Level,25,Castello di Amorosa 2011 King Ridge Vineyard Pinot Noir (Sonoma Coast),0.5,null,"The tasting note describes 'robust aromas' and 'intense, full-bodied raspberry and blackberry,' indicating moderate to strong tannins."
1,Tannin Level,26,Stemmari 2013 Dalila White (Terre Siciliane),0,not_applicable,The wine is a white blend and does not contain tannins.
1,Tannin Level,27,Stemmari 2013 Nero d'Avola (Terre Siciliane),0.5,null,"The tasting note describes 'round tannins', indicating a presence but not overwhelming strength, placing it moderately towards the high pole."
1,Tannin Level,28,Terre di Giurfo 2011 Mascaria Barricato  (Cerasuolo di Vittoria),0.5,null,"The tasting note mentions 'dusty tannins' which indicate a presence of tannins but not overwhelmingly so, suggesting a moderate level."
1,Tannin Level,29,Clarksburg Wine Company 2010 Chenin Blanc (Clarksburg),0,not_applicable,"Chenin Blanc is typically a grape variety known for its low to moderate tannin levels, and this wine review does not mention any perceptible tannins."
1,Tannin Level,30,Domaine de la Madone 2012 Nouveau  (Beaujolais-Villages),0.5,null,"The tasting note describes 'light tannins' which indicate a moderate presence of tannins, closer to the high pole but not strongly so."
