dimension_id,dimension_name,option_id,display_text,score,zero_reason,justification
1,Action Intensity,1,Toy Story (1995),2,null,"Toy Story includes some adventurous scenarios and physical interactions between toys, but these are mild and infrequent compared to intense action sequences."
1,Action Intensity,2,Jumanji (1995),2,null,"While 'Jumanji' includes adventurous and fantastical elements, the action scenes are not frequent or intense enough to score higher."
1,Action Intensity,3,Grumpier Old Men (1995),1,null,The movie focuses primarily on comedy and character interactions with minimal action sequences.
1,Action Intensity,4,Waiting to Exhale (1995),0,null,The plot summary indicates a focus on character development and emotional journeys without any mention of action sequences.
1,Action Intensity,5,Father of the Bride Part II (1995),1,null,The plot summary indicates a focus on family dynamics and personal growth with no mention of action sequences.
1,Action Intensity,6,Heat (1995),3,null,"Heat (1995) features several intense action scenes, particularly during heists and confrontations, but also emphasizes character development and dialogue."
1,Action Intensity,7,Sabrina (1995),1,null,The plot summary indicates that 'Sabrina' focuses on romance and character development without mentioning any significant action sequences.
1,Action Intensity,8,Tom and Huck (1995),2,null,"The movie features various adventures but lacks intense action scenes, focusing more on the characters' journey and development."
1,Action Intensity,9,Sudden Death (1995),4,null,"The plot summary indicates a movie with frequent and intense action sequences, fitting well into the high-action category."
1,Action Intensity,10,GoldenEye (1995),4,null,"The movie features multiple intense action sequences, thrilling chase scenes, and a climactic showdown, indicating a high level of action."
1,Action Intensity,11,"American President, The (1995)",0,null,The American President focuses primarily on political drama and romance with no significant action sequences.
1,Action Intensity,12,Dracula: Dead and Loving It (1995),1,null,The movie primarily focuses on comedy and parody rather than intense action sequences.
1,Action Intensity,13,Balto (1995),2,null,"While Balto involves a journey with challenges, these are not characterized by intense action scenes or stunts."
1,Action Intensity,14,Nixon (1995),0,null,"The movie 'Nixon' focuses heavily on dialogue and character development, with no significant action sequences."
1,Action Intensity,15,Cutthroat Island (1995),4,null,"The movie features numerous high-seas action sequences and battles, indicating a significant presence of intense action."
1,Action Intensity,16,Casino (1995),1,null,"Casino focuses primarily on character development and dialogue, with minimal emphasis on action sequences."
1,Action Intensity,17,Sense and Sensibility (1995),0,null,"Sense and Sensibility focuses primarily on dialogue and character development within a romantic and dramatic context, with no significant action sequences."
1,Action Intensity,18,Four Rooms (1995),1,null,Four Rooms is an anthology comedy with no significant focus on action sequences.
1,Action Intensity,19,Ace Ventura: When Nature Calls (1995),1,null,The movie focuses on comedy and eccentric adventures with minimal action sequences.
1,Action Intensity,20,Money Train (1995),3,null,"Money Train contains several intense action scenes and stunts, though it also focuses on character dynamics and plot twists."
1,Action Intensity,21,Get Shorty (1995),2,null,"While 'Get Shorty' includes some action sequences, they are not frequent nor particularly intense, and the film focuses more on its comedic and character-driven elements."
1,Action Intensity,22,Copycat (1995),2,null,The movie contains tense and suspenseful moments but lacks frequent and intense action scenes.
1,Action Intensity,23,Assassins (1995),3,null,"The movie features multiple action-packed sequences and a fast-paced plot involving assassins, which indicates a significant presence of intense action."
1,Action Intensity,24,Powder (1995),1,null,The movie focuses primarily on character development and emotional depth rather than action sequences.
1,Action Intensity,25,Leaving Las Vegas (1995),0,null,The movie focuses heavily on character development and emotional depth with virtually no action sequences.
1,Action Intensity,26,Othello (1995),1,null,"The plot summary indicates a focus on betrayal, jealousy, and revenge, which aligns with a drama centered around character development and dialogue rather than action."
1,Action Intensity,27,Now and Then (1995),0,null,The plot summary indicates a focus on character development and emotional themes without mention of significant action sequences.
1,Action Intensity,28,Persuasion (1995),0,null,"Persuasion is a drama and romance film that focuses heavily on character development and dialogue, with no significant action scenes."
1,Action Intensity,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",2,null,"The movie contains some action sequences but focuses more on its surreal visuals, plot, and character development."
1,Action Intensity,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),1,null,"The plot summary indicates a focus on themes of power, loyalty, and consequences through dialogue and character development rather than intense action scenes."
1,Action Intensity,31,Dangerous Minds (1995),1,null,The plot summary indicates a focus on character development and thematic exploration rather than action sequences.
1,Action Intensity,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),2,null,"While 'Twelve Monkeys' contains some action sequences, it primarily focuses on its complex narrative, psychological elements, and character development."
1,Action Intensity,33,Wings of Courage (1995),2,null,The movie focuses on the biographical and emotional journey of the characters with a narrative centered around their adventures in aviation rather than intense action sequences.
1,Action Intensity,34,Babe (1995),0,null,Babe is a heartwarming family film focused on character development and emotional themes with virtually no action sequences.
1,Action Intensity,35,Carrington (1995),0,null,Carrington is a biographical drama focused on character development and relationships with no significant action sequences.
1,Action Intensity,36,Dead Man Walking (1995),0,null,"The movie focuses heavily on dialogue and character development, with no significant action scenes."
1,Action Intensity,37,Across the Sea of Time (1995),0,null,The movie is a documentary with a focus on storytelling and visual exploration rather than action sequences.
1,Action Intensity,38,It Takes Two (1995),1,null,The plot summary indicates a focus on humor and heartfelt moments with no mention of significant action sequences.
