dimension_id,dimension_name,option_a_id,option_a_display,option_b_id,option_b_display,choice,confidence,reasoning,high_pole_description_a,high_pole_description_b,swap_consistent
1,Action vs. Character-Driven,13,Balto (1995),27,Now and Then (1995),B,marginal,"Balto focuses more on an adventurous plot with a clear goal, featuring less emphasis on deep character development compared to Now and Then, which delves into the emotional and psychological journeys of its characters over time.",moderately action-driven,more character-driven,True
1,Action vs. Character-Driven,2,Jumanji (1995),11,"American President, The (1995)",B,clear,"Option A, 'Jumanji', leans towards the action side with its focus on adventure and survival against the game's challenges, whereas Option B, 'The American President', emphasizes character-driven elements through the exploration of the president's personal and political dilemmas.",moderately action-oriented,strongly character-driven,True
1,Action vs. Character-Driven,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),20,Money Train (1995),A,clear,"Option A, 'Shanghai Triad', focuses heavily on the psychological journey and development of its characters within a complex narrative, aligning closely with the character-driven pole. In contrast, Option B, 'Money Train', emphasizes action sequences and a heist plot, placing it closer to the action pole.",character-focused,action-oriented,True
1,Action vs. Character-Driven,34,Babe (1995),27,Now and Then (1995),B,marginal,"Both 'Babe' and 'Now and Then' focus more on character development than action, but 'Now and Then' delves deeper into the psychological and emotional journeys of its characters, making it slightly more character-driven.",moderately character-driven,more character-driven,True
1,Action vs. Character-Driven,31,Dangerous Minds (1995),2,Jumanji (1995),A,clear,"Dangerous Minds focuses heavily on character development and the personal growth of both the teacher and her students, aligning closely with the high pole. In contrast, Jumanji emphasizes adventure and action, with less emphasis on deep character development, placing it closer to the low pole.",character-driven,action-oriented,True
1,Action vs. Character-Driven,37,Across the Sea of Time (1995),50,"Usual Suspects, The (1995)",A,marginal,"Option A focuses on the personal journey and character development of Tomas, making it more character-driven. Option B, while having some character development, is primarily driven by its complex plot and mystery elements, leaning more towards the action side.",character-driven,plot-driven,False
1,Action vs. Character-Driven,15,Cutthroat Island (1995),18,Four Rooms (1995),B,clear,"Option A, 'Cutthroat Island', focuses heavily on action and adventure, featuring high-seas battles and treasure hunts, placing it closer to the low pole. Option B, 'Four Rooms', emphasizes quirky characters and absurd situations, aligning more closely with the high pole due to its focus on character-driven narratives.",action-packed adventure,character-focused comedy,True
1,Action vs. Character-Driven,1,Toy Story (1995),23,Assassins (1995),A,clear,"Toy Story focuses heavily on character development and emotional arcs, particularly between Woody and Buzz, making it more character-driven. In contrast, Assassins is an action-thriller with a focus on high-stakes action sequences and less emphasis on deep character development.",character-driven with deep emotional arcs,action-packed with minimal character development,True
1,Action vs. Character-Driven,17,Sense and Sensibility (1995),3,Grumpier Old Men (1995),A,clear,"Sense and Sensibility focuses heavily on the emotional and relational development of its characters, making it highly character-driven. Grumpier Old Men, while having some character development, leans more towards comedy and light-hearted rivalry, placing it closer to the action pole but still somewhat character-driven.",highly character-driven,moderately character-driven,True
1,Action vs. Character-Driven,38,It Takes Two (1995),25,Leaving Las Vegas (1995),B,clear,"Option A, 'It Takes Two', focuses on the comedic and heartwarming interactions between characters, emphasizing character growth and relationships rather than action. Option B, 'Leaving Las Vegas', delves deeply into the psychological states and emotional journeys of its main characters, making it even more character-driven.",moderately character-driven,strongly character-driven,True
