persona_id,trial,option_a_id,option_b_id,choice,thinking,raw_sliders,adjusted_sliders
1,1,h6WuBbB0AAyikzKyVaCPLWnas4Ztcj8f,YRcwkX4F3eYzoo0h15QGUoHGXgrd0biz,B,"Raj would likely choose Option B because he understands the pressures of systemic demands like competitive exams and the real, limiting impact they can have on communication and relationships. He values protecting people’s well-being in the face of external stressors, and sees this as a more understandable sacrifice than walking away from a conflict that could be navigated with care and support.","{""Autonomy"": -45, ""Emotional Honesty"": 10, ""Social Connection"": -11, ""Spontaneity"": -34, ""Conflict Avoidance"": -100, ""Creativity"": -19, ""Efficiency"": -27, ""Humor"": -1, ""Emotional Catharsis"": -8, ""Moral Boundaries"": -42, ""Intellectual Engagement"": 5, ""Comfort"": -34, ""Social Recognition"": -1, ""Cultural Awareness"": -1, ""Identity Exploration"": 16, ""Direct Communication"": 4, ""Emotional Restraint"": -22, ""Social Obligation Avoidance"": -75, ""Digital Convenience"": 5, ""Ethical Responsibility"": 18, ""Financial Stability"": 21, ""Personal Growth"": 1, ""Tradition"": -1, ""Institutional Efficiency"": -1, ""Digital Autonomy"": -6}","{""Autonomy"": -45, ""Emotional Honesty"": 10, ""Social Connection"": -11, ""Spontaneity"": -34, ""Conflict Avoidance"": -100, ""Creativity"": -19, ""Efficiency"": -27, ""Humor"": -1, ""Emotional Catharsis"": -8, ""Moral Boundaries"": -42, ""Intellectual Engagement"": 5, ""Comfort"": -34, ""Social Recognition"": -1, ""Cultural Awareness"": -1, ""Identity Exploration"": 16, ""Direct Communication"": 4, ""Emotional Restraint"": -22, ""Social Obligation Avoidance"": -75, ""Digital Convenience"": 5, ""Ethical Responsibility"": 60, ""Financial Stability"": 21, ""Personal Growth"": 1, ""Tradition"": -1, ""Institutional Efficiency"": -1, ""Digital Autonomy"": -6}"
1,2,dkedKOctOGZiPMEjMABj0hyOh6VZJ3uZ,2s6HTLXM2zBC02Jtacykv68phiz8wDFn,B,"Raj would likely side with Option B because it reflects a genuine health concern and a desire to protect someone from a condition that causes real suffering. While being short-staffed is a challenge, ensuring someone isn’t exposed to triggers for a chronic illness aligns with his commitment to protecting the vulnerable and practical well-being.","{""Autonomy"": -37, ""Emotional Honesty"": 6, ""Social Connection"": 69, ""Spontaneity"": -22, ""Conflict Avoidance"": 19, ""Creativity"": 20, ""Efficiency"": 17, ""Humor"": 19, ""Emotional Catharsis"": 22, ""Moral Boundaries"": -31, ""Intellectual Engagement"": 0, ""Comfort"": -5, ""Social Recognition"": -22, ""Cultural Awareness"": 8, ""Identity Exploration"": 86, ""Direct Communication"": 6, ""Emotional Restraint"": -50, ""Social Obligation Avoidance"": -47, ""Digital Convenience"": -6, ""Ethical Responsibility"": -21, ""Financial Stability"": 1, ""Personal Growth"": 22, ""Tradition"": 47, ""Institutional Efficiency"": -100, ""Digital Autonomy"": -10}","{""Autonomy"": -37, ""Emotional Honesty"": 6, ""Social Connection"": 85, ""Spontaneity"": -22, ""Conflict Avoidance"": 19, ""Creativity"": 20, ""Efficiency"": 17, ""Humor"": 19, ""Emotional Catharsis"": 22, ""Moral Boundaries"": -35, ""Intellectual Engagement"": 0, ""Comfort"": -5, ""Social Recognition"": -22, ""Cultural Awareness"": 8, ""Identity Exploration"": 50, ""Direct Communication"": 6, ""Emotional Restraint"": -50, ""Social Obligation Avoidance"": -47, ""Digital Convenience"": -6, ""Ethical Responsibility"": -25, ""Financial Stability"": 1, ""Personal Growth"": 22, ""Tradition"": 47, ""Institutional Efficiency"": -90, ""Digital Autonomy"": -10}"
1,3,q0J0v1yNy8ePbwoibA2Ieo4ERhrSWN3y,IuOFKPsDQhrBAGnOyJ1V0m4YUFceU7Ky,A,"Raj would likely side with Option A because he sees the value in supporting people who are seeking help, especially in vulnerable situations. He’d be concerned about how locking such posts could discourage people from getting the legal support they need, which goes against his commitment to collective well-being and fairness.","{""Autonomy"": 37, ""Emotional Honesty"": -69, ""Social Connection"": -14, ""Spontaneity"": -30, ""Conflict Avoidance"": 34, ""Creativity"": -4, ""Efficiency"": 22, ""Humor"": -2, ""Emotional Catharsis"": -33, ""Moral Boundaries"": -68, ""Intellectual Engagement"": 45, ""Comfort"": 40, ""Social Recognition"": 2, ""Cultural Awareness"": -100, ""Identity Exploration"": 14, ""Direct Communication"": -8, ""Emotional Restraint"": 43, ""Social Obligation Avoidance"": 8, ""Digital Convenience"": 9, ""Ethical Responsibility"": -18, ""Financial Stability"": 19, ""Personal Growth"": 2, ""Tradition"": -24, ""Institutional Efficiency"": 46, ""Digital Autonomy"": 14}","{""Autonomy"": 30, ""Emotional Honesty"": -50, ""Social Connection"": -5, ""Spontaneity"": -20, ""Conflict Avoidance"": 30, ""Creativity"": 0, ""Efficiency"": 30, ""Humor"": 0, ""Emotional Catharsis"": -20, ""Moral Boundaries"": -75, ""Intellectual Engagement"": 40, ""Comfort"": 45, ""Social Recognition"": 0, ""Cultural Awareness"": -80, ""Identity Exploration"": 10, ""Direct Communication"": 0, ""Emotional Restraint"": 40, ""Social Obligation Avoidance"": 5, ""Digital Convenience"": 5, ""Ethical Responsibility"": -10, ""Financial Stability"": 15, ""Personal Growth"": 0, ""Tradition"": -20, ""Institutional Efficiency"": 50, ""Digital Autonomy"": 10}"
1,4,yFt1tDCXEzzSsCnt4UMz2s32aymblcGm,dqSgeZS8Bjg9zcHqpCYE2CQb9Bo29IVC,B,"Instilling fear of flying in young children seems harmful and unnecessary, especially when it could affect their well-being and future choices. Driving the speed limit in bad weather, while potentially frustrating, is a responsible choice that prioritizes safety over convenience.","{""Autonomy"": -23, ""Emotional Honesty"": -4, ""Social Connection"": -44, ""Spontaneity"": 3, ""Conflict Avoidance"": 8, ""Creativity"": -17, ""Efficiency"": 20, ""Humor"": -4, ""Emotional Catharsis"": -32, ""Moral Boundaries"": 12, ""Intellectual Engagement"": -11, ""Comfort"": 32, ""Social Recognition"": 8, ""Cultural Awareness"": -1, ""Identity Exploration"": -66, ""Direct Communication"": 1, ""Emotional Restraint"": 100, ""Social Obligation Avoidance"": -14, ""Digital Convenience"": -2, ""Ethical Responsibility"": -13, ""Financial Stability"": -2, ""Personal Growth"": -13, ""Tradition"": 18, ""Institutional Efficiency"": 89, ""Digital Autonomy"": 4}","{""Autonomy"": -23, ""Emotional Honesty"": -4, ""Social Connection"": -30, ""Spontaneity"": 3, ""Conflict Avoidance"": 8, ""Creativity"": -17, ""Efficiency"": 20, ""Humor"": -4, ""Emotional Catharsis"": -32, ""Moral Boundaries"": 12, ""Intellectual Engagement"": -11, ""Comfort"": 32, ""Social Recognition"": 8, ""Cultural Awareness"": -1, ""Identity Exploration"": -66, ""Direct Communication"": 1, ""Emotional Restraint"": 100, ""Social Obligation Avoidance"": -14, ""Digital Convenience"": -2, ""Ethical Responsibility"": -13, ""Financial Stability"": -2, ""Personal Growth"": -13, ""Tradition"": 18, ""Institutional Efficiency"": 95, ""Digital Autonomy"": 4}"
1,5,kf9RDjP3f0OT1juXRNgFUZ6do5tDMiEy,qlHLN18Lgc0G2s5O0FGc8sM6Eah71CiO,A,"Raj would likely see Option A as more morally acceptable because it reflects a natural, healthy emotional response to personal effort and growth. Feeling proud when doing well and disappointed when falling short is a sign of self-awareness and motivation, which can lead to positive outcomes for oneself and the community.","{""Autonomy"": 0, ""Emotional Honesty"": 27, ""Social Connection"": -13, ""Spontaneity"": 13, ""Conflict Avoidance"": -17, ""Creativity"": 6, ""Efficiency"": -86, ""Humor"": 1, ""Emotional Catharsis"": 100, ""Moral Boundaries"": 15, ""Intellectual Engagement"": 8, ""Comfort"": -36, ""Social Recognition"": 4, ""Cultural Awareness"": -1, ""Identity Exploration"": 23, ""Direct Communication"": -5, ""Emotional Restraint"": -43, ""Social Obligation Avoidance"": 6, ""Digital Convenience"": 1, ""Ethical Responsibility"": 4, ""Financial Stability"": -12, ""Personal Growth"": 20, ""Tradition"": -16, ""Institutional Efficiency"": -15, ""Digital Autonomy"": -13}","{""Autonomy"": 0, ""Emotional Honesty"": 27, ""Social Connection"": -13, ""Spontaneity"": 13, ""Conflict Avoidance"": -17, ""Creativity"": 6, ""Efficiency"": -95, ""Humor"": 1, ""Emotional Catharsis"": 100, ""Moral Boundaries"": 30, ""Intellectual Engagement"": 8, ""Comfort"": -45, ""Social Recognition"": 4, ""Cultural Awareness"": -1, ""Identity Exploration"": 23, ""Direct Communication"": -5, ""Emotional Restraint"": -43, ""Social Obligation Avoidance"": 6, ""Digital Convenience"": 1, ""Ethical Responsibility"": 4, ""Financial Stability"": -12, ""Personal Growth"": 20, ""Tradition"": -16, ""Institutional Efficiency"": -15, ""Digital Autonomy"": -13}"
1,6,IkNrFRW792nRRznIQBFPjCjUQIA0kPw0,IDjLQvnzP2VqH6QSMTH36wsvFJemLCUG,A,"Raj would likely prefer Option A because it involves a person engaging in an action that directly supports the homeless, even if it's done with some self-awareness or vanity. As someone who values real-world impact and helping the vulnerable, he'd see the act of giving sandwiches as morally significant, even if the person is also documenting it.","{""Autonomy"": -11, ""Emotional Honesty"": 27, ""Social Connection"": 0, ""Spontaneity"": 8, ""Conflict Avoidance"": -9, ""Creativity"": 48, ""Efficiency"": -29, ""Humor"": 19, ""Emotional Catharsis"": 25, ""Moral Boundaries"": 19, ""Intellectual Engagement"": -20, ""Comfort"": -41, ""Social Recognition"": 100, ""Cultural Awareness"": 0, ""Identity Exploration"": 59, ""Direct Communication"": 16, ""Emotional Restraint"": 0, ""Social Obligation Avoidance"": 27, ""Digital Convenience"": 5, ""Ethical Responsibility"": 13, ""Financial Stability"": -14, ""Personal Growth"": -21, ""Tradition"": 0, ""Institutional Efficiency"": -20, ""Digital Autonomy"": 16}","{""Autonomy"": -11, ""Emotional Honesty"": 27, ""Social Connection"": 0, ""Spontaneity"": 8, ""Conflict Avoidance"": -9, ""Creativity"": 48, ""Efficiency"": -29, ""Humor"": 19, ""Emotional Catharsis"": 25, ""Moral Boundaries"": 35, ""Intellectual Engagement"": -20, ""Comfort"": -41, ""Social Recognition"": 100, ""Cultural Awareness"": 0, ""Identity Exploration"": 59, ""Direct Communication"": 16, ""Emotional Restraint"": 0, ""Social Obligation Avoidance"": 27, ""Digital Convenience"": 5, ""Ethical Responsibility"": 30, ""Financial Stability"": -14, ""Personal Growth"": -21, ""Tradition"": 0, ""Institutional Efficiency"": -20, ""Digital Autonomy"": 16}"
1,7,UJJM1vg4k34W9T15iV5QGkNhDwb8Zs6u,fjS1xw36caCMF1bOLKhig4dywhaLjCo4,B,"Raj would likely find Option B more morally understandable because it reflects a moment of genuine care and concern for a loved one, rooted in a real-life, family-centered context. As someone who values the well-being of individuals and the importance of human connection, he would see this action as more meaningful and grounded in empathy than a humorous or accidental social faux pas.","{""Autonomy"": -5, ""Emotional Honesty"": 58, ""Social Connection"": 96, ""Spontaneity"": -37, ""Conflict Avoidance"": 79, ""Creativity"": -24, ""Efficiency"": 56, ""Humor"": -65, ""Emotional Catharsis"": -2, ""Moral Boundaries"": 6, ""Intellectual Engagement"": 23, ""Comfort"": 39, ""Social Recognition"": -71, ""Cultural Awareness"": 1, ""Identity Exploration"": 48, ""Direct Communication"": 100, ""Emotional Restraint"": 96, ""Social Obligation Avoidance"": -20, ""Digital Convenience"": -1, ""Ethical Responsibility"": 34, ""Financial Stability"": 21, ""Personal Growth"": 36, ""Tradition"": 10, ""Institutional Efficiency"": -16, ""Digital Autonomy"": -10}","{""Autonomy"": -5, ""Emotional Honesty"": 65, ""Social Connection"": 100, ""Spontaneity"": -37, ""Conflict Avoidance"": 85, ""Creativity"": -24, ""Efficiency"": 56, ""Humor"": -65, ""Emotional Catharsis"": -2, ""Moral Boundaries"": 6, ""Intellectual Engagement"": 23, ""Comfort"": 39, ""Social Recognition"": -71, ""Cultural Awareness"": 1, ""Identity Exploration"": 48, ""Direct Communication"": 100, ""Emotional Restraint"": 96, ""Social Obligation Avoidance"": -20, ""Digital Convenience"": -1, ""Ethical Responsibility"": 34, ""Financial Stability"": 21, ""Personal Growth"": 36, ""Tradition"": 10, ""Institutional Efficiency"": -16, ""Digital Autonomy"": -10}"
1,8,y4sG0velWoc7qRZ3W7cnUBlbGVo6uafr,Q2hyjxMYEwiYAa8X4kLZOfmbykbLerdW,A,"Raj would likely side with Option A because he values the real-world impact of actions, especially when they involve personal autonomy and body confidence. He’d see the woman’s choice as an act of self-expression in a space where bodies are often policed, even if it caused family tension, and he’d prioritize supporting her right to feel comfortable in her own skin.","{""Autonomy"": -2, ""Emotional Honesty"": 17, ""Social Connection"": 15, ""Spontaneity"": 18, ""Conflict Avoidance"": -13, ""Creativity"": 11, ""Efficiency"": -8, ""Humor"": 34, ""Emotional Catharsis"": 100, ""Moral Boundaries"": 36, ""Intellectual Engagement"": -5, ""Comfort"": -38, ""Social Recognition"": 56, ""Cultural Awareness"": 1, ""Identity Exploration"": 35, ""Direct Communication"": 7, ""Emotional Restraint"": -49, ""Social Obligation Avoidance"": 30, ""Digital Convenience"": -2, ""Ethical Responsibility"": 11, ""Financial Stability"": 1, ""Personal Growth"": -3, ""Tradition"": 12, ""Institutional Efficiency"": -7, ""Digital Autonomy"": -34}","{""Autonomy"": -2, ""Emotional Honesty"": 17, ""Social Connection"": 15, ""Spontaneity"": 18, ""Conflict Avoidance"": -13, ""Creativity"": 11, ""Efficiency"": -8, ""Humor"": 34, ""Emotional Catharsis"": 100, ""Moral Boundaries"": 36, ""Intellectual Engagement"": -5, ""Comfort"": -38, ""Social Recognition"": 56, ""Cultural Awareness"": 1, ""Identity Exploration"": 35, ""Direct Communication"": 7, ""Emotional Restraint"": -49, ""Social Obligation Avoidance"": 30, ""Digital Convenience"": -2, ""Ethical Responsibility"": 11, ""Financial Stability"": 1, ""Personal Growth"": -3, ""Tradition"": 12, ""Institutional Efficiency"": -7, ""Digital Autonomy"": -34}"
1,9,AkQeiKr23xFKGzP4h3Hq1wOVkYVfFETM,IuOFKPsDQhrBAGnOyJ1V0m4YUFceU7Ky,B,"Raj would likely choose Option B because he values actions that promote fairness and address harmful behavior, especially when it affects others. Pointing out potential racism, even if uncomfortable, aligns with his commitment to protecting the vulnerable and fostering a more just community.","{""Autonomy"": -23, ""Emotional Honesty"": 78, ""Social Connection"": 39, ""Spontaneity"": 29, ""Conflict Avoidance"": -61, ""Creativity"": -14, ""Efficiency"": -50, ""Humor"": -1, ""Emotional Catharsis"": 53, ""Moral Boundaries"": 80, ""Intellectual Engagement"": 24, ""Comfort"": -69, ""Social Recognition"": 34, ""Cultural Awareness"": 100, ""Identity Exploration"": 18, ""Direct Communication"": 52, ""Emotional Restraint"": -52, ""Social Obligation Avoidance"": -9, ""Digital Convenience"": -6, ""Ethical Responsibility"": 69, ""Financial Stability"": -6, ""Personal Growth"": 33, ""Tradition"": 26, ""Institutional Efficiency"": -11, ""Digital Autonomy"": -22}","{""Autonomy"": -23, ""Emotional Honesty"": 85, ""Social Connection"": 39, ""Spontaneity"": 29, ""Conflict Avoidance"": -61, ""Creativity"": -14, ""Efficiency"": -50, ""Humor"": -1, ""Emotional Catharsis"": 53, ""Moral Boundaries"": 90, ""Intellectual Engagement"": 24, ""Comfort"": -69, ""Social Recognition"": 34, ""Cultural Awareness"": 100, ""Identity Exploration"": 18, ""Direct Communication"": 52, ""Emotional Restraint"": -52, ""Social Obligation Avoidance"": -9, ""Digital Convenience"": -6, ""Ethical Responsibility"": 75, ""Financial Stability"": -6, ""Personal Growth"": 33, ""Tradition"": 26, ""Institutional Efficiency"": -11, ""Digital Autonomy"": -22}"
1,10,uBTqygNFFn8cY0Kge7HgjUOpQoGNYJp6,IuOFKPsDQhrBAGnOyJ1V0m4YUFceU7Ky,A,"Raj would likely choose Option A because he values accountability and effective leadership, especially when it comes to making decisions that impact the community. As someone who prioritizes real-world consequences and the well-being of the collective, he believes that holding leaders to a standard of competency is essential for progress and fairness.","{""Autonomy"": 0, ""Emotional Honesty"": -73, ""Social Connection"": -29, ""Spontaneity"": -38, ""Conflict Avoidance"": 35, ""Creativity"": -1, ""Efficiency"": 24, ""Humor"": -3, ""Emotional Catharsis"": -31, ""Moral Boundaries"": -54, ""Intellectual Engagement"": -18, ""Comfort"": 55, ""Social Recognition"": -28, ""Cultural Awareness"": -100, ""Identity Exploration"": -10, ""Direct Communication"": -44, ""Emotional Restraint"": 59, ""Social Obligation Avoidance"": -9, ""Digital Convenience"": 3, ""Ethical Responsibility"": -29, ""Financial Stability"": 18, ""Personal Growth"": -24, ""Tradition"": -10, ""Institutional Efficiency"": 44, ""Digital Autonomy"": 8}","{""Autonomy"": 0, ""Emotional Honesty"": -73, ""Social Connection"": -29, ""Spontaneity"": -38, ""Conflict Avoidance"": 35, ""Creativity"": -1, ""Efficiency"": 40, ""Humor"": -3, ""Emotional Catharsis"": -31, ""Moral Boundaries"": -70, ""Intellectual Engagement"": -18, ""Comfort"": 65, ""Social Recognition"": -28, ""Cultural Awareness"": -100, ""Identity Exploration"": -10, ""Direct Communication"": -44, ""Emotional Restraint"": 59, ""Social Obligation Avoidance"": -9, ""Digital Convenience"": 3, ""Ethical Responsibility"": -29, ""Financial Stability"": 18, ""Personal Growth"": -24, ""Tradition"": -10, ""Institutional Efficiency"": 44, ""Digital Autonomy"": 8}"
