dimension_id,dimension_name,option_id,display_text,score,zero_reason,justification
1,Sweetness,0,Nicosia 2013 Vulkà Bianco  (Etna),0,not_applicable,The tasting note does not provide any information about the sweetness level of the wine.
1,Sweetness,1,Quinta dos Avidagos 2011 Avidagos Red (Douro),0,not_applicable,"The tasting note does not mention any sweetness, making the dimension of sweetness not applicable for this wine."
1,Sweetness,2,Rainstorm 2013 Pinot Gris (Willamette Valley),0,not_applicable,"The tasting note does not mention any sweetness, making the sweetness dimension not applicable."
1,Sweetness,3,St. Julian 2013 Reserve Late Harvest Riesling (Lake Michigan Shore),0.5,null,"The wine has notes of honey-drizzled guava and mango, indicating a moderate level of sweetness."
1,Sweetness,4,Sweet Cheeks 2012 Vintner's Reserve Wild Child Block Pinot Noir (Willamette Valley),0,not_applicable,"The tasting note does not mention any sweetness, making the dimension of sweetness not applicable for this wine."
1,Sweetness,5,Tandem 2011 Ars In Vitro Tempranillo-Merlot (Navarra),0,not_applicable,"The tasting note does not mention any sweetness, making the dimension of sweetness not applicable for this wine."
1,Sweetness,6,Terre di Giurfo 2013 Belsito Frappato (Vittoria),0,not_applicable,"The tasting note does not mention any sweetness, making the dimension of sweetness not applicable."
1,Sweetness,7,Trimbach 2012 Gewurztraminer (Alsace),-1,null,"The wine is described as 'dry and restrained', clearly indicating minimal to no sweetness."
1,Sweetness,8,Heinz Eifel 2013 Shine Gewürztraminer (Rheinhessen),0.5,null,"The wine is described as 'off-dry' with 'savory dried thyme notes' and 'fruitiness', indicating a moderate level of sweetness."
1,Sweetness,9,Jean-Baptiste Adam 2012 Les Natures Pinot Gris (Alsace),0.5,null,"The wine is described as 'off dry' with a touch of spice, indicating a moderate level of sweetness."
1,Sweetness,10,Kirkland Signature 2011 Mountain Cuvée Cabernet Sauvignon (Napa Valley),0,not_applicable,"Cabernet Sauvignon is typically not known for its sweetness, and the tasting note does not mention any sweet notes."
1,Sweetness,11,Leon Beyer 2012 Gewurztraminer (Alsace),-1,not_applicable,"The tasting note explicitly states that the wine is dry, which places it at the low pole of sweetness."
1,Sweetness,12,Louis M. Martini 2012 Cabernet Sauvignon (Alexander Valley),0.5,null,"The tasting note describes 'rich black cherry' and 'firm oak', indicating some sweetness but not overwhelmingly so."
1,Sweetness,13,Masseria Setteporte 2012 Rosso  (Etna),0,not_applicable,The wine description focuses on oak and tannin notes without mentioning any sweetness.
